"DiscoveryFile","Pattern","RepositoryPath","LineNumber","Scope","Liveness","Usage","Match"
"agent-pipeline.txt","ChatClientAgentOptions","codex\bundles\maf-1-15-upgrade-architecture\references\01-repository-evidence-index.md","19","documentation","documentation","documentation-reference","| Agent options | `MafRuntimeAgentFactory` | `ChatClientAgentOptions` construction | no inspected explicit opt-out from default middleware | Confirmed for construction; provider-factory behavior is inference |"
"agent-pipeline.txt","ChatClientAgentOptions","codex\bundles\maf-1-15-upgrade-architecture\README.md","57","documentation","documentation","documentation-reference","1. The application creates `ChatClientAgentOptions` without opting out of default middleware. MAF 1.15 therefore introduces approval-response binding by default unless a provider factory replaces or bypasses that pipeline."
"agent-pipeline.txt","ChatClientAgentOptions","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\MafAgentRuntime.cs","1053","production","live","implementation-reference","var repairOptions = new ChatClientAgentOptions"
"agent-pipeline.txt","ChatClientAgentOptions","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\MafAgentRuntime.cs","1104","production","live","implementation-reference","var repairOptions = new ChatClientAgentOptions"
"agent-pipeline.txt","ChatClientAgentOptions","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\Providers\MafProviderAgentFactory.cs","34","production","live","implementation-reference","ChatClientAgentOptions options,"
"agent-pipeline.txt","ChatClientAgentOptions","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\Providers\MafProviderAgentFactory.cs","227","production","live","implementation-reference","ChatClientAgentOptions options,"
"agent-pipeline.txt","ChatClientAgentOptions","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\Providers\MafProviderAgentFactory.cs","247","production","live","implementation-reference","ChatClientAgentOptions options,"
"agent-pipeline.txt","ChatClientAgentOptions","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\Providers\MafProviderAgentFactory.cs","284","production","live","implementation-reference","ChatClientAgentOptions options,"
"agent-pipeline.txt","ChatClientAgentOptions","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\Providers\MafProviderAgentFactory.cs","324","production","live","implementation-reference","ChatClientAgentOptions options)"
"agent-pipeline.txt","ChatClientAgentOptions","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\MafRuntimeAgentFactory.cs","186","production","live","implementation-reference","var options = new ChatClientAgentOptions"
"agent-pipeline.txt","UseProvidedChatClientAsIs","codex\bundles\maf-1-15-upgrade-architecture\analysis\10-provider-pipeline-and-middleware.md","9","documentation","documentation","documentation-reference","- setting `UseProvidedChatClientAsIs = true`;"
"agent-pipeline.txt","UseProvidedChatClientAsIs","codex\bundles\maf-1-15-upgrade-architecture\analysis\10-provider-pipeline-and-middleware.md","38","documentation","documentation","documentation-reference","| Provider | Factory type | Agent type | `UseProvidedChatClientAsIs` | FICC source | Binding source | Active session proven | Per-service-call persistence | Approval support |"
"agent-pipeline.txt","UseProvidedChatClientAsIs","codex\bundles\maf-1-15-upgrade-architecture\analysis\10-provider-pipeline-and-middleware.md","67","documentation","documentation","documentation-reference","If a provider must use `UseProvidedChatClientAsIs = true`, its builder must explicitly include:"
"agent-pipeline.txt","UseProvidedChatClientAsIs","codex\bundles\maf-1-15-upgrade-architecture\analysis\09-open-questions-and-discovery-gates.md","7","documentation","documentation","documentation-reference","| Q01 | Does any provider factory set `UseProvidedChatClientAsIs = true` or supply a pre-decorated `FunctionInvokingChatClient`? | Determines whether 1.15 default approval middleware is present | Inspect every `IMafProviderAgentFactory` implementation and runtime service registration |"
"agent-pipeline.txt","UseProvidedChatClientAsIs","codex\bundles\maf-1-15-upgrade-architecture\analysis\01-current-state.md","62","documentation","documentation","documentation-reference","- `UseProvidedChatClientAsIs`;"
"agent-pipeline.txt","UseProvidedChatClientAsIs","codex\bundles\maf-1-15-upgrade-architecture\plan\02-file-by-file-plan.md","47","documentation","documentation","documentation-reference","- verify `UseProvidedChatClientAsIs` and provider factory behavior;"
"agent-pipeline.txt","DisableApprovalResponseBinding","codex\bundles\maf-1-15-upgrade-architecture\analysis\03-breaking-behavior.md","37","documentation","documentation","documentation-reference","Never set `DisableApprovalResponseBinding = true` as a compatibility shortcut."
"agent-pipeline.txt","DisableApprovalResponseBinding","codex\bundles\maf-1-15-upgrade-architecture\analysis\01-current-state.md","63","documentation","documentation","documentation-reference","- `DisableApprovalResponseBinding`;"
"agent-pipeline.txt","DisableApprovalResponseBinding","codex\bundles\maf-1-15-upgrade-architecture\plan\02-file-by-file-plan.md","46","documentation","documentation","documentation-reference","- explicitly document/ensure `DisableApprovalResponseBinding = false`;"
"agent-pipeline.txt","DisableApprovalNotRequiredFunctionBypassing","codex\bundles\maf-1-15-upgrade-architecture\machine\migration-tasks.json","61","documentation","documentation","documentation-reference","""DisableApprovalNotRequiredFunctionBypassing true during parity"","
"agent-pipeline.txt","DisableApprovalNotRequiredFunctionBypassing","codex\bundles\maf-1-15-upgrade-architecture\00-user-summary-cs.md","31","documentation","documentation","documentation-reference","1. při prvním compile/parity upgradu nastavit `DisableApprovalNotRequiredFunctionBypassing = true`;"
"agent-pipeline.txt","DisableApprovalNotRequiredFunctionBypassing","codex\bundles\maf-1-15-upgrade-architecture\shared-prompts\implementation-prompt.md","52","documentation","documentation","documentation-reference","- Preserve 1.13 mixed-tool behavior initially by setting DisableApprovalNotRequiredFunctionBypassing = true."
"agent-pipeline.txt","DisableApprovalNotRequiredFunctionBypassing","codex\bundles\maf-1-15-upgrade-architecture\analysis\03-breaking-behavior.md","69","documentation","documentation","documentation-reference","DisableApprovalNotRequiredFunctionBypassing"
"agent-pipeline.txt","DisableApprovalNotRequiredFunctionBypassing","codex\bundles\maf-1-15-upgrade-architecture\analysis\03-breaking-behavior.md","81","documentation","documentation","documentation-reference","DisableApprovalNotRequiredFunctionBypassing = true"
"agent-pipeline.txt","DisableApprovalNotRequiredFunctionBypassing","codex\bundles\maf-1-15-upgrade-architecture\analysis\01-current-state.md","64","documentation","documentation","documentation-reference","- `DisableApprovalNotRequiredFunctionBypassing`."
"agent-pipeline.txt","DisableApprovalNotRequiredFunctionBypassing","codex\bundles\maf-1-15-upgrade-architecture\subbundles\02-package-alignment-and-compilation\README.md","60","documentation","documentation","documentation-reference","6. Set `DisableApprovalNotRequiredFunctionBypassing = true` on relevant 1.15 agent options for parity."
"agent-pipeline.txt","DisableApprovalNotRequiredFunctionBypassing","codex\bundles\maf-1-15-upgrade-architecture\references\02-upstream-change-index.md","49","documentation","documentation","documentation-reference","DisableApprovalNotRequiredFunctionBypassing"
"agent-pipeline.txt","DisableApprovalNotRequiredFunctionBypassing","codex\bundles\maf-1-15-upgrade-architecture\plan\02-file-by-file-plan.md","45","documentation","documentation","documentation-reference","- explicitly preserve 1.13 mixed approval behavior in parity phase with `DisableApprovalNotRequiredFunctionBypassing = true`;"
"agent-pipeline.txt","EnableNonApprovalRequiredFunctionBypassing","codex\bundles\maf-1-15-upgrade-architecture\analysis\09-open-questions-and-discovery-gates.md","8","documentation","documentation","documentation-reference","| Q02 | Does any code set the old `EnableNonApprovalRequiredFunctionBypassing` option? | Compile break and behavior baseline | Full branch grep |"
"agent-pipeline.txt","EnableNonApprovalRequiredFunctionBypassing","codex\bundles\maf-1-15-upgrade-architecture\analysis\03-breaking-behavior.md","59","documentation","documentation","documentation-reference","EnableNonApprovalRequiredFunctionBypassing"
"agent-pipeline.txt","EnableNonApprovalRequiredFunctionBypassing","codex\bundles\maf-1-15-upgrade-architecture\references\02-upstream-change-index.md","42","documentation","documentation","documentation-reference","EnableNonApprovalRequiredFunctionBypassing"
"agent-pipeline.txt","FunctionInvokingChatClient","codex\bundles\maf-1-15-upgrade-architecture\analysis\10-provider-pipeline-and-middleware.md","26","documentation","documentation","documentation-reference","-> FunctionInvokingChatClient"
"agent-pipeline.txt","FunctionInvokingChatClient","codex\bundles\maf-1-15-upgrade-architecture\analysis\10-provider-pipeline-and-middleware.md","71","documentation","documentation","documentation-reference","- `FunctionInvokingChatClient`;"
"agent-pipeline.txt","FunctionInvokingChatClient","codex\bundles\maf-1-15-upgrade-architecture\analysis\09-open-questions-and-discovery-gates.md","7","documentation","documentation","documentation-reference","| Q01 | Does any provider factory set `UseProvidedChatClientAsIs = true` or supply a pre-decorated `FunctionInvokingChatClient`? | Determines whether 1.15 default approval middleware is present | Inspect every `IMafProviderAgentFactory` implementation and runtime service registration |"
"agent-pipeline.txt","FunctionInvokingChatClient","codex\bundles\maf-1-15-upgrade-architecture\analysis\03-breaking-behavior.md","12","documentation","documentation","documentation-reference","-> FunctionInvokingChatClient"
"agent-pipeline.txt","AsBuilder()","tests\Unit\CanDoItAll.Tests.Unit\MafContextMessageTransformationTests.cs","45","test","live-test","test-reference","var wrappedAgent = recordingAgent.AsBuilder().Build();"
"agent-pipeline.txt","AsBuilder()","tests\Unit\CanDoItAll.Tests.Unit\MafContextMessageTransformationTests.cs","75","test","live-test","test-reference",".AsBuilder()"
"agent-pipeline.txt","AsBuilder()","codex\bundles\maf-1-15-upgrade-architecture\analysis\10-provider-pipeline-and-middleware.md","88","documentation","documentation","documentation-reference","CanDoItAll calls `agent.AsBuilder()` and adds application middleware. Confirm:"
"agent-pipeline.txt","AsBuilder()","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\MafRuntimeAgentFactory.cs","348","production","live","implementation-reference","var builder = agent.AsBuilder();"
"agent-pipeline.txt","AsAIAgent","codex\bundles\maf-1-15-upgrade-architecture\inputs\02-upstream-release-baseline.md","38","documentation","documentation","documentation-reference","- Non-streaming `Workflow.AsAIAgent()` prefers explicit terminal workflow outputs over intermediate agent updates."
"agent-pipeline.txt","AsAIAgent","codex\bundles\maf-1-15-upgrade-architecture\analysis\01-current-state.md","126","documentation","documentation","documentation-reference","- `workflow.AsAIAgent(includeWorkflowOutputsInResponse: true)`;"
"agent-pipeline.txt","AsAIAgent","codex\bundles\maf-1-15-upgrade-architecture\references\01-repository-evidence-index.md","21","documentation","documentation","documentation-reference","| Handoff creation | `MafHandoffWorkflowFactory.Build` | handoff builder and `AsAIAgent(includeWorkflowOutputsInResponse: true)` | workflow-hosted agent uses explicit outputs | Confirmed |"
"agent-pipeline.txt","AsAIAgent","src\MAF\Workflows\CanDoItAll.AgentFramework.Workflows.MafAdapter\MafHandoffWorkflowFactory.cs","82","production","live","implementation-reference","var workflowAgent = workflow.AsAIAgent("
"agent-pipeline.txt","AsAIAgent","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\Providers\MafProviderAgentFactory.cs","267","production","live","implementation-reference",".AsAIAgent(options: options, services: services),"
"agent-pipeline.txt","AsAIAgent","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\Providers\MafProviderAgentFactory.cs","273","production","live","implementation-reference",".AsAIAgent(options: options, services: services),"
"agent-pipeline.txt","AsAIAgent","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\Providers\MafProviderAgentFactory.cs","276","production","live","implementation-reference",".AsAIAgent(options: options, model: model, services: services),"
"agent-pipeline.txt","AsAIAgent","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\Providers\MafProviderAgentFactory.cs","307","production","live","implementation-reference",".AsAIAgent(options: options, services: services),"
"agent-pipeline.txt","AsAIAgent","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\Providers\MafProviderAgentFactory.cs","313","production","live","implementation-reference",".AsAIAgent(options: options, services: services),"
"agent-pipeline.txt","AsAIAgent","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\Providers\MafProviderAgentFactory.cs","316","production","live","implementation-reference",".AsAIAgent(options: options, model: model, services: services),"
"agent-pipeline.txt","AsAIAgent","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\Providers\MafProviderAgentFactory.cs","335","production","live","implementation-reference","return chatClient.AsAIAgent(options: options);"
"agent-pipeline.txt","AsAIAgent","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\Capabilities\A2ARemoteAgentToolFactory.cs","81","production","live","implementation-reference","var a2aAgent = agentCard.AsAIAgent("
"approvals.txt","ToolApprovalRequestContent","tests\Unit\CanDoItAll.Tests.Unit\MafRuntimeArchitectureServicesTests.cs","292","test","live-test","test-reference","Assert.DoesNotContain(""ConcurrentDictionary<Guid, IReadOnlyList<ToolApprovalRequestContent>>"", runtimeSource, StringComparison.Ordinal);"
"approvals.txt","ToolApprovalRequestContent","tests\Unit\CanDoItAll.Tests.Unit\MafRuntimeArchitectureServicesTests.cs","392","test","live-test","test-reference","var request = new ToolApprovalRequestContent(""approval-001"", toolCall);"
"approvals.txt","ToolApprovalRequestContent","codex\bundles\maf-1-15-upgrade-architecture\00-user-summary-cs.md","13","documentation","documentation","documentation-reference","- Při pokračování se z vlastního záznamu rekonstruuje `ToolApprovalRequestContent`, ale modelu se posílá pouze approval response."
"approvals.txt","ToolApprovalRequestContent","codex\bundles\maf-1-15-upgrade-architecture\analysis\04-workaround-decision-register.md","13","documentation","documentation","documentation-reference","| W07 | Rehydrate `ToolApprovalRequestContent` from custom record | **Rewrite for 1.15 binding** | Legacy session state and exact request authority must be explicit | Function/MCP/restart/legacy/integrity tests |"
"approvals.txt","ToolApprovalRequestContent","codex\bundles\maf-1-15-upgrade-architecture\analysis\03-breaking-behavior.md","21","documentation","documentation","documentation-reference","- records each surfaced `ToolApprovalRequestContent` in the active session state bag under `_pendingApprovalRequests`;"
"approvals.txt","ToolApprovalRequestContent","codex\bundles\maf-1-15-upgrade-architecture\analysis\01-current-state.md","87","documentation","documentation","documentation-reference","1. process-local cache of raw `ToolApprovalRequestContent`;"
"approvals.txt","ToolApprovalRequestContent","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\MafApprovalContinuationDriver.cs","13","production","live","implementation-reference","void StorePendingApprovals(Guid sessionId, IReadOnlyList<ToolApprovalRequestContent> approvalRequests);"
"approvals.txt","ToolApprovalRequestContent","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\MafApprovalContinuationDriver.cs","17","production","live","implementation-reference","PendingToolApprovalRecord MapPendingApproval(ToolApprovalRequestContent request);"
"approvals.txt","ToolApprovalRequestContent","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\MafApprovalContinuationDriver.cs","25","production","live","implementation-reference","private readonly ConcurrentDictionary<Guid, IReadOnlyList<ToolApprovalRequestContent>> pendingApprovalCache = new();"
"approvals.txt","ToolApprovalRequestContent","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\MafApprovalContinuationDriver.cs","35","production","live","implementation-reference","public void StorePendingApprovals(Guid sessionId, IReadOnlyList<ToolApprovalRequestContent> approvalRequests)"
"approvals.txt","ToolApprovalRequestContent","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\MafApprovalContinuationDriver.cs","46","production","live","implementation-reference","public PendingToolApprovalRecord MapPendingApproval(ToolApprovalRequestContent request)"
"approvals.txt","ToolApprovalRequestContent","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\MafApprovalContinuationDriver.cs","110","production","live","implementation-reference","private IReadOnlyList<ToolApprovalRequestContent> GetCachedOrRehydratedApprovals(ChatSessionRecord session)"
"approvals.txt","ToolApprovalRequestContent","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\MafApprovalContinuationDriver.cs","133","production","live","implementation-reference","private static ToolApprovalRequestContent RehydratePendingApproval(PendingToolApprovalRecord record)"
"approvals.txt","ToolApprovalRequestContent","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\MafApprovalContinuationDriver.cs","145","production","live","implementation-reference","return new ToolApprovalRequestContent(record.ApprovalId, toolCall);"
"approvals.txt","ToolApprovalRequestContent","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\MafAgentRuntime.cs","596","production","live","implementation-reference","IReadOnlyCollection<ToolApprovalRequestContent> approvalRequests)"
"approvals.txt","ToolApprovalRequestContent","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\MafAgentRuntime.cs","963","production","live","implementation-reference",".OfType<ToolApprovalRequestContent>()"
"approvals.txt","ToolApprovalRequestContent","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\Providers\MafProviderStreamingRunner.cs","295","production","live","implementation-reference","ToolApprovalRequestContent approval => new ToolApprovalRequestContent("
"approvals.txt","ToolApprovalRequestContent","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\MafRuntimeResponseAssembler.cs","242","production","live","implementation-reference","IReadOnlyCollection<ToolApprovalRequestContent> approvalRequests)"
"approvals.txt","ToolApprovalRequestContent","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\MafRuntimeResponseAssembler.cs","260","production","live","implementation-reference","ToolApprovalRequestContent approval => approval.ToolCall?.CallId ?? approval.ToolCall?.ToString(),"
"approvals.txt","ToolApprovalRequestContent","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\MafFinalizerDriver.cs","24","production","live","implementation-reference","IReadOnlyCollection<ToolApprovalRequestContent> approvalRequests,"
"approvals.txt","ApprovalRequiredAIFunction","docs\provider-capability-and-pricing.md","16","documentation","documentation","documentation-reference","| Approval and background behavior | `supportsToolApprovalWrappers`, `supportsToolApprovalRequests`, `supportsApprovalRequiredAIFunction`, `supportsBackgroundResponses` |"
"approvals.txt","ApprovalRequiredAIFunction","docs\maf-runtime-stabilization.md","71","documentation","documentation","documentation-reference","- `SupportsApprovalRequiredAIFunction`"
"approvals.txt","ApprovalRequiredAIFunction","docs\agent-recovery-stabilization.md","45","documentation","documentation","documentation-reference","Process mutation tools are registered as mutation tools and require approval by default. Read-only process inspection tools remain read-only. Internal process mutation tools are wrapped with MAF `ApprovalRequiredAIFunction` unless approval requirements are explicitly suppressed for governed non-interactive automation."
"approvals.txt","ApprovalRequiredAIFunction","tests\Unit\CanDoItAll.Tests.Unit\WorkflowAgentRuntimeToolProviderTests.cs","112","test","live-test","test-reference","Assert.IsNotType<ApprovalRequiredAIFunction>(GetTool("
"approvals.txt","ApprovalRequiredAIFunction","tests\Unit\CanDoItAll.Tests.Unit\WorkflowAgentRuntimeToolProviderTests.cs","115","test","live-test","test-reference","Assert.IsNotType<ApprovalRequiredAIFunction>(GetTool("
"approvals.txt","ApprovalRequiredAIFunction","tests\Unit\CanDoItAll.Tests.Unit\WorkflowAgentRuntimeToolProviderTests.cs","118","test","live-test","test-reference","Assert.IsType<ApprovalRequiredAIFunction>(GetTool("
"approvals.txt","ApprovalRequiredAIFunction","tests\Unit\CanDoItAll.Tests.Unit\WorkflowAgentRuntimeToolProviderTests.cs","121","test","live-test","test-reference","Assert.IsType<ApprovalRequiredAIFunction>(GetTool("
"approvals.txt","ApprovalRequiredAIFunction","tests\Unit\CanDoItAll.Tests.Unit\WorkflowAgentRuntimeToolProviderTests.cs","124","test","live-test","test-reference","Assert.IsType<ApprovalRequiredAIFunction>(GetTool("
"approvals.txt","ApprovalRequiredAIFunction","tests\Unit\CanDoItAll.Tests.Unit\WorkflowAgentRuntimeToolProviderTests.cs","129","test","live-test","test-reference","tool => Assert.IsNotType<ApprovalRequiredAIFunction>(tool));"
"approvals.txt","ApprovalRequiredAIFunction","tests\Unit\CanDoItAll.Tests.Unit\ProviderFeatureMatrixTests.cs","30","test","live-test","test-reference","Assert.True(matrix.SupportsApprovalRequiredAIFunction);"
"approvals.txt","ApprovalRequiredAIFunction","tests\Unit\CanDoItAll.Tests.Unit\ProviderFeatureMatrixTests.cs","52","test","live-test","test-reference","Assert.True(matrix.SupportsApprovalRequiredAIFunction);"
"approvals.txt","ApprovalRequiredAIFunction","tests\Unit\CanDoItAll.Tests.Unit\ProviderFeatureMatrixTests.cs","71","test","live-test","test-reference","Assert.True(matrix.SupportsApprovalRequiredAIFunction);"
"approvals.txt","ApprovalRequiredAIFunction","tests\Unit\CanDoItAll.Tests.Unit\ProviderFeatureMatrixTests.cs","94","test","live-test","test-reference","Assert.False(matrix.SupportsApprovalRequiredAIFunction);"
"approvals.txt","ApprovalRequiredAIFunction","tests\Unit\CanDoItAll.Tests.Unit\MafRuntimeArchitectureServicesTests.cs","554","test","live-test","test-reference","Assert.IsNotType<ApprovalRequiredAIFunction>(Assert.Single(state.Tools, tool => tool.Name == ""processes_runs_list""));"
"approvals.txt","ApprovalRequiredAIFunction","tests\Unit\CanDoItAll.Tests.Unit\MafRuntimeArchitectureServicesTests.cs","555","test","live-test","test-reference","Assert.IsType<ApprovalRequiredAIFunction>(Assert.Single(state.Tools, tool => tool.Name == ""processes_run_start""));"
"approvals.txt","ApprovalRequiredAIFunction","tests\Unit\CanDoItAll.Tests.Unit\MafPackageBaselineReflectionTests.cs","20","test","live-test","test-reference","typeof(ApprovalRequiredAIFunction).Assembly,"
"approvals.txt","ApprovalRequiredAIFunction","tests\Unit\CanDoItAll.Tests.Unit\MafPackageBaselineReflectionTests.cs","46","test","live-test","test-reference","Assert.Contains(""ApprovalRequiredAIFunction"", availableTypeNames);"
"approvals.txt","ApprovalRequiredAIFunction","tests\Unit\CanDoItAll.Tests.Unit\MafAgentRuntimeToolProviderCompositionTests.cs","393","test","live-test","test-reference","Assert.IsNotType<ApprovalRequiredAIFunction>(Assert.Single(tools, tool => tool.Name == ""processes_runs_list""));"
"approvals.txt","ApprovalRequiredAIFunction","tests\Unit\CanDoItAll.Tests.Unit\MafAgentRuntimeToolProviderCompositionTests.cs","394","test","live-test","test-reference","Assert.IsType<ApprovalRequiredAIFunction>(Assert.Single(tools, tool => tool.Name == ""processes_run_start""));"
"approvals.txt","ApprovalRequiredAIFunction","codex\bundles\maf-1-15-upgrade-architecture\analysis\03-breaking-behavior.md","104","documentation","documentation","documentation-reference","The MAF decorator only knows whether a tool is wrapped as `ApprovalRequiredAIFunction`. CanDoItAll's own mutation policy remains authoritative."
"approvals.txt","ApprovalRequiredAIFunction","src\MAF\Common\CanDoItAll.AgentFramework.Models\Providers\ProviderModels.cs","34","production","live","implementation-reference","bool SupportsApprovalRequiredAIFunction = false,"
"approvals.txt","ApprovalRequiredAIFunction","src\MAF\Common\CanDoItAll.AgentFramework.Core\Providers\ProviderServices.cs","254","production","live","implementation-reference","SupportsApprovalRequiredAIFunction: supportsToolApprovalRequests,"
"approvals.txt","ApprovalRequiredAIFunction","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\MafRuntimeAgentFactory.cs","360","production","live","implementation-reference",".Where(tool => tool is ApprovalRequiredAIFunction)"
"approvals.txt","ApprovalRequiredAIFunction","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\MafRuntimeAgentFactory.cs","413","production","live","implementation-reference","ApprovalWrapperEffectiveForProvider: featureMatrix.SupportsApprovalRequiredAIFunction,"
"approvals.txt","ApprovalRequiredAIFunction","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\MafRuntimeAgentFactory.cs","441","production","live","implementation-reference","activity?.SetTag(""agentframework.provider_supports_tool_approval"", featureMatrix.SupportsApprovalRequiredAIFunction);"
"approvals.txt","ApprovalRequiredAIFunction","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\MafRuntimeAgentFactory.cs","579","production","live","implementation-reference","capabilityState.HasApprovalTools = capabilityState.Tools.Any(tool => tool is ApprovalRequiredAIFunction);"
"approvals.txt","ApprovalRequiredAIFunction","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\MafRuntimeAgentFactory.cs","584","production","live","implementation-reference","if (featureMatrix.SupportsApprovalRequiredAIFunction)"
"approvals.txt","ApprovalRequiredAIFunction","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\MafRuntimeAgentFactory.cs","590","production","live","implementation-reference",".Where(tool => tool is ApprovalRequiredAIFunction)"
"approvals.txt","ApprovalRequiredAIFunction","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\MafRuntimeAgentFactory.cs","612","production","live","implementation-reference","capabilityState.HasApprovalTools = capabilityState.Tools.Any(tool => tool is ApprovalRequiredAIFunction);"
"approvals.txt","ApprovalRequiredAIFunction","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\Capabilities\ToolCapabilityBuilder.cs","352","production","live","implementation-reference","? new ApprovalRequiredAIFunction(function)"
"approvals.txt","ApprovalRequiredAIFunction","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\Capabilities\ToolCapabilityBuilder.ConfiguredWorkspace.cs","214","production","live","implementation-reference","? new ApprovalRequiredAIFunction(function)"
"approvals.txt","ApprovalRequiredAIFunction","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\Capabilities\RuntimeToolProviderComposer.cs","117","production","live","implementation-reference","request.State.HasApprovalTools |= request.State.Tools.Any(tool => tool is ApprovalRequiredAIFunction);"
"approvals.txt","ApprovalRequiredAIFunction","src\MAF\Common\CanDoItAll.AgentFramework.Maf\Runtime\Capabilities\RuntimeToolProviderComposer.cs","139","production","live","implementation-reference","return new ApprovalRequiredAIFunction(function);"
