Command: PowerShell SB34 closure artifact path audit for manifest and semantic proof references
InvariantIds: SB34-RELEASE-GATE
Path: C:\repositories\CanDoItAll\codex\bundles\candoitall-memory-provider-extraction-bundle\proof\SB34\transcripts\passing-database-runtime-switching-integration-tests.txt
Kind: File
Resolved: bundle://proof/SB34/transcripts/native-solution-build.txt
Path: C:\repositories\CanDoItAll\codex\bundles\candoitall-memory-provider-extraction-bundle\proof\SB34\transcripts\native-solution-build.txt
Kind: File
Resolved: bundle://proof/SB34/transcripts/native-service-tests.txt
Path: C:\repositories\CanDoItAll\codex\bundles\candoitall-memory-provider-extraction-bundle\proof\SB34\transcripts\native-service-tests.txt
Kind: File
Resolved: bundle://proof/SB34/transcripts/main-solution-build.txt
Path: C:\repositories\CanDoItAll\codex\bundles\candoitall-memory-provider-extraction-bundle\proof\SB34\transcripts\main-solution-build.txt
Kind: File
Resolved: bundle://proof/SB34/transcripts/completed-stage-validation.txt
Path: C:\repositories\CanDoItAll\codex\bundles\candoitall-memory-provider-extraction-bundle\proof\SB34\transcripts\completed-stage-validation.txt
Kind: File
Resolved: bundle://proof/SB34/transcripts/audit-base-generic-native-boundary.txt
Path: C:\repositories\CanDoItAll\codex\bundles\candoitall-memory-provider-extraction-bundle\proof\SB34\transcripts\audit-base-generic-native-boundary.txt
Kind: File
Resolved: bundle://proof/SB34/transcripts/audit-maf-memory-native-boundary.txt
Path: C:\repositories\CanDoItAll\codex\bundles\candoitall-memory-provider-extraction-bundle\proof\SB34\transcripts\audit-maf-memory-native-boundary.txt
Kind: File
Resolved: bundle://proof/SB34/transcripts/audit-retained-cognitive-memory-references.txt
Path: C:\repositories\CanDoItAll\codex\bundles\candoitall-memory-provider-extraction-bundle\proof\SB34\transcripts\audit-retained-cognitive-memory-references.txt
Kind: File
Resolved: bundle://proof/SB34/transcripts/failing-first-source-snapshot-contract-family-audit.txt
Path: C:\repositories\CanDoItAll\codex\bundles\candoitall-memory-provider-extraction-bundle\proof\SB34\transcripts\failing-first-source-snapshot-contract-family-audit.txt
Kind: File
Resolved: bundle://proof/SB34/transcripts/failing-second-source-snapshot-contract-family-audit.txt
Path: C:\repositories\CanDoItAll\codex\bundles\candoitall-memory-provider-extraction-bundle\proof\SB34\transcripts\failing-second-source-snapshot-contract-family-audit.txt
Kind: File
Resolved: bundle://proof/SB34/transcripts/audit-source-snapshot-contract-family.txt
Path: C:\repositories\CanDoItAll\codex\bundles\candoitall-memory-provider-extraction-bundle\proof\SB34\transcripts\audit-source-snapshot-contract-family.txt
Kind: File
Resolved: bundle://proof/SB34/transcripts/audit-sb34-stub-xml-markers.txt
Path: C:\repositories\CanDoItAll\codex\bundles\candoitall-memory-provider-extraction-bundle\proof\SB34\transcripts\audit-sb34-stub-xml-markers.txt
Kind: File
Resolved: bundle://proof/SB34/transcripts/live-reentry-closure-audit.txt
Path: C:\repositories\CanDoItAll\codex\bundles\candoitall-memory-provider-extraction-bundle\proof\SB34\transcripts\live-reentry-closure-audit.txt
Kind: File
Resolved: bundle://proof/SB34/transcripts/closure-artifact-path-audit.txt
Path: C:\repositories\CanDoItAll\codex\bundles\candoitall-memory-provider-extraction-bundle\proof\SB34\transcripts\closure-artifact-path-audit.txt
Kind: File
ResolvedCount: 34
ExitCode: 0
