component_name,relative_path,category,consumer_usage_count,example_usages,note
CanvasWorkbench,src/CanDoItAll.Components.CanvasLib/Components/CanvasWorkbench.razor,workbench-runtime,35,src/CanDoItAll.Components.Sandbox/SandboxCatalogRegistry.cs; src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.razor; src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.ToolWindows.cs; src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor; src/CanDoItAll.Mcp.Components/Catalog/ComponentCatalogService.cs,Primary shared runtime workbench surface or internal stage.
CanvasWorkbenchStage,src/CanDoItAll.Components.CanvasLib/Components/CanvasWorkbenchStage.razor,workbench-runtime,7,src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.razor; src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor; tests/CanDoItAll.Tests.Components/CanvasWorkbenchStageTests.cs,Primary shared runtime workbench surface or internal stage.
ChipBadgePrimitive,src/CanDoItAll.Components.CanvasLib/Components/ChipBadgePrimitive.razor,preview-boundary,3,src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor; src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/ChipBadgePrimitiveTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
ClipboardBridge,src/CanDoItAll.Components.CanvasLib/Components/ClipboardBridge.razor,preview-boundary,2,src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/ClipboardBridgeTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
ConnectorAnchorOverlay,src/CanDoItAll.Components.CanvasLib/Components/ConnectorAnchorOverlay.razor,preview-boundary,2,src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/ConnectorAnchorOverlayTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
ConnectorPathPrimitive,src/CanDoItAll.Components.CanvasLib/Components/ConnectorPathPrimitive.razor,preview-boundary,3,src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor; src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/ConnectorPathPrimitiveTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
ContainerPrimitive,src/CanDoItAll.Components.CanvasLib/Components/ContainerPrimitive.razor,preview-boundary,3,src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor; src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/ContainerPrimitiveTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
ContextMenuHost,src/CanDoItAll.Components.CanvasLib/Components/ContextMenuHost.razor,preview-boundary,3,src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor; src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/ContextMenuHostTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
CreateActionPalette,src/CanDoItAll.Components.CanvasLib/Components/CreateActionPalette.razor,preview-boundary,3,src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor; src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/CreateActionPaletteTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
DiagnosticsOverlay,src/CanDoItAll.Components.CanvasLib/Components/DiagnosticsOverlay.razor,preview-boundary,2,src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/DiagnosticsOverlayTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
DragDropController,src/CanDoItAll.Components.CanvasLib/Components/DragDropController.razor,preview-boundary,2,src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/DragDropControllerTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
EmptyStateOverlay,src/CanDoItAll.Components.CanvasLib/Components/EmptyStateOverlay.razor,preview-boundary,3,src/CanDoItAll.Components.Sandbox/SandboxCatalogRegistry.cs; src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/EmptyStateOverlayTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
FloatingInspectorHost,src/CanDoItAll.Components.CanvasLib/Components/FloatingInspectorHost.razor,preview-boundary,3,src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor; src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/FloatingInspectorHostTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
GridBackdrop,src/CanDoItAll.Components.CanvasLib/Components/GridBackdrop.razor,preview-boundary,2,src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/GridBackdropTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
GroupFrameOverlay,src/CanDoItAll.Components.CanvasLib/Components/GroupFrameOverlay.razor,preview-boundary,3,src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor; src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/GroupFrameOverlayTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
HitTestService,src/CanDoItAll.Components.CanvasLib/Components/HitTestService.razor,preview-boundary,2,src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/HitTestServiceTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
HoverFocusRouter,src/CanDoItAll.Components.CanvasLib/Components/HoverFocusRouter.razor,preview-boundary,2,src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/HoverFocusRouterTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
IconGlyphPrimitive,src/CanDoItAll.Components.CanvasLib/Components/IconGlyphPrimitive.razor,preview-boundary,3,src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor; src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/IconGlyphPrimitiveTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
ImagePrimitive,src/CanDoItAll.Components.CanvasLib/Components/ImagePrimitive.razor,preview-boundary,3,src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor; src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/ImagePrimitiveTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
InlineEditorComposer,src/CanDoItAll.Components.CanvasLib/Components/InlineEditorComposer.razor,preview-boundary,3,src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor; src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/InlineEditorComposerTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
KeyboardShortcutRouter,src/CanDoItAll.Components.CanvasLib/Components/KeyboardShortcutRouter.razor,preview-boundary,2,src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/KeyboardShortcutRouterTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
LayoutEngine,src/CanDoItAll.Components.CanvasLib/Components/LayoutEngine.razor,preview-boundary,2,src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/LayoutEngineTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
MarqueeSelectionOverlay,src/CanDoItAll.Components.CanvasLib/Components/MarqueeSelectionOverlay.razor,preview-boundary,2,src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/MarqueeSelectionOverlayTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
MinimapOverview,src/CanDoItAll.Components.CanvasLib/Components/MinimapOverview.razor,preview-boundary,2,src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/MinimapOverviewTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
NodeCardComposer,src/CanDoItAll.Components.CanvasLib/Components/NodeCardComposer.razor,preview-boundary,3,src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor; src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/NodeCardComposerTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
SkeletonStateOverlay,src/CanDoItAll.Components.CanvasLib/Components/SkeletonStateOverlay.razor,preview-boundary,3,src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.razor; src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/SkeletonStateOverlayTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
SnapGuideSystem,src/CanDoItAll.Components.CanvasLib/Components/SnapGuideSystem.razor,preview-boundary,2,src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/SnapGuideSystemTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
TextBlockPrimitive,src/CanDoItAll.Components.CanvasLib/Components/TextBlockPrimitive.razor,preview-boundary,3,src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor; src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/TextBlockPrimitiveTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
TooltipPopoverHost,src/CanDoItAll.Components.CanvasLib/Components/TooltipPopoverHost.razor,preview-boundary,2,src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/TooltipPopoverHostTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
TransformHandlesOverlay,src/CanDoItAll.Components.CanvasLib/Components/TransformHandlesOverlay.razor,preview-boundary,2,src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/TransformHandlesOverlayTests.cs,Preview/support/validation component; do not present as the canonical runtime scene renderer.
