line,function_name,recommended_module,notes
3161,toggleSelection,workbench/interaction/input-routing,
3166,toggleCollapse,workbench/shared/utils,
3179,clearContextMenu,workbench/overlays/html-overlays,
3186,closeComposer,workbench/overlays/html-overlays,
3199,ensureHostFocus,workbench/interaction/input-routing,
3208,deferHostFocus,workbench/interaction/input-routing,
3212,resolveComposerAnchor,workbench/overlays/html-overlays,
3231,layoutComposer,workbench/overlays/html-overlays,
3258,render,workbench/shared/utils,
3291,getContextActions,workbench/shared/utils,
3303,isCreateAction,workbench/shared/utils,
3313,buildCreateRequest,workbench/shared/utils,
3334,resolveMenuLabel,workbench/interaction/input-routing,
3344,getMenuScale,workbench/runtime/projection,
3348,isCompactHiveLayout,workbench/shared/utils,
3353,resolveMenuActionVariant,workbench/interaction/input-routing,
3372,getActionMetrics,workbench/shared/metrics,
3388,applyProgressPresetTone,workbench/shared/utils,
3407,fitContextMenuLabel,workbench/overlays/html-overlays,
3444,resolveActionGlyph,workbench/shared/utils,
3529,createMenuActionIcon,workbench/interaction/input-routing,
3563,resolveMenuActionAriaLabel,workbench/interaction/input-routing,
3567,getRadialOffsets,workbench/shared/utils,
3604,buildCompactHiveCoordinates,workbench/shared/utils,
3634,getCompactHiveOffsets,workbench/shared/utils,
3656,resolveContextMenuOffsets,workbench/overlays/html-overlays,
3664,resolveContextMenuSafeTop,workbench/overlays/html-overlays,
3682,getContextMenuLayerBounds,workbench/runtime/projection,
3716,clampLayerBoundsToHost,workbench/runtime/projection,
3752,positionContextMenu,workbench/overlays/html-overlays,
3764,getContextMenuOrbitRadius,workbench/overlays/html-overlays,
3776,getContextMenuLocalPoint,workbench/overlays/html-overlays,
3789,isPointInContextMenuLayer,workbench/overlays/html-overlays,
3806,closeContextMenuLayersFrom,workbench/overlays/html-overlays,
3821,syncContextMenuLayers,workbench/overlays/html-overlays,
3862,resolveSubmenuOrigin,workbench/interaction/input-routing,
3873,ensureSubmenuLoadingIndicator,workbench/interaction/input-routing,
3885,clearSubmenuLoadingIndicator,workbench/interaction/input-routing,
3894,cancelPendingContextSubmenu,workbench/interaction/input-routing,
3909,scheduleContextSubmenuOpen,workbench/interaction/input-routing,
3956,clampLayerOriginToHost,workbench/shared/utils,
3965,getToolboxPanelSize,workbench/runtime/projection,
3969,getToolboxPanelBounds,workbench/runtime/projection,
3978,clampToolboxPanelOriginToHost,workbench/runtime/projection,
3987,resolveToolboxPanelOrigin,workbench/runtime/projection,
4001,createContextMenuLayer,workbench/overlays/html-overlays,
4062,shiftContextMenuLayerOrigin,workbench/overlays/html-overlays,
4086,nudgeContextMenuLayerIntoVisibleHost,workbench/runtime/projection,
4119,resolveQuickCreateSourceNode,workbench/render/nodes,
4131,submitCreateRequest,workbench/shared/utils,
4162,submitNodeEdit,workbench/shared/utils,
4166,readFileAsUpload,workbench/shared/utils,
4188,commitComposer,workbench/state/persistence,
4253,decorateComposerShell,workbench/overlays/html-overlays,
4286,createComposerWizard,workbench/overlays/html-overlays,
4302,createComposerSection,workbench/overlays/html-overlays,
4321,updateComposerFileState,workbench/state/persistence,
4339,openCreateComposer,workbench/overlays/html-overlays,
4648,openInlineNoteComposer,workbench/overlays/html-overlays,
4681,buildChildNotePlacement,workbench/shared/utils,
4690,buildSiblingNotePlacement,workbench/shared/utils,
4697,openKeyboardNoteComposer,workbench/overlays/html-overlays,
4731,openExistingNoteEditor,workbench/overlays/html-overlays,
4741,executeContextAction,workbench/shared/utils,
4769,openContextSubmenu,workbench/interaction/input-routing,
4852,openContextSubmenuByActionId,workbench/interaction/input-routing,
4863,renderContextMenuLayer,workbench/overlays/html-overlays,
4951,renderToolboxPreview,workbench/shared/utils,
4984,renderToolboxPanelLayer,workbench/runtime/projection,
5137,showContextMenu,workbench/overlays/html-overlays,
5182,openNodeMetadataMenu,workbench/interaction/input-routing,
5202,startPan,workbench/runtime/projection,
5214,isMarqueeModifierPressed,workbench/interaction/input-routing,
5230,startMarquee,workbench/interaction/input-routing,
5253,ensureSelectedForDrag,workbench/interaction/input-routing,
5259,startDragForNodeIds,workbench/interaction/input-routing,
5286,startDrag,workbench/interaction/input-routing,
5291,startFrameDrag,workbench/render/frames,
5300,updateMarquee,workbench/interaction/input-routing,
5316,applyMarqueeSelection,workbench/interaction/input-routing,
5340,updateDrag,workbench/interaction/input-routing,
5364,updatePan,workbench/runtime/projection,
5372,finishInteraction,workbench/shared/utils,
5402,isNodeVisibleInViewport,workbench/runtime/projection,
5416,centerNodeElementInViewport,workbench/runtime/projection,
5431,ensureNodeVisible,workbench/runtime/projection,
5451,resize,workbench/runtime/projection,
5460,findContainingBlockOverride,workbench/shared/utils,
5478,suspendContainingBlock,workbench/shared/utils,
5499,restoreContainingBlock,workbench/state/persistence,
5511,setMaximized,workbench/shared/utils,
5531,fitView,workbench/shared/utils,
5565,focusNode,workbench/interaction/input-routing,
5600,normalizeWheelDelta,workbench/state/persistence,
5614,applyWheelZoom,workbench/runtime/projection,
5665,setZoomPercent,workbench/runtime/projection,
5709,setMenuScalePercent,workbench/runtime/entry,
5722,toggleHelp,workbench/runtime/entry,
5727,isManualDoubleActivation,workbench/runtime/entry,
5735,handleNodeDoubleActivation,workbench/runtime/entry,
5754,attachEvents,workbench/runtime/entry,
6018,buildWorkbench,workbench/runtime/entry,Current div/svg stage constructor; replace with real canvas stage shell while keeping public interop entry stable.
6124,hydrateState,workbench/runtime/entry,
6200,refresh,workbench/runtime/entry,
6293,cloneWorkbenchForExport,workbench/export/export-scene,Current DOM clone export path; replace with renderer-owned canvas composition.
6329,copyComputedStyles,workbench/export/export-scene,
6341,loadImage,workbench/export/export-scene,
6379,disposeWorkbenchState,workbench/runtime/entry,
6421,createWorkbenchInternals,workbench/runtime/entry,
