Path,Area,Token,Count
C:\repositories\CanDoItAll\Tailwind\surfaces\admin.css,Tailwind,text-slate-600,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\Steps.razor,BaseLib,text-slate-600,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\CanvasBenchmark.razor,Sandbox,text-slate-600,3
C:\repositories\CanDoItAll\Tailwind\navigation\workbench-shell.css,Tailwind,text-slate-700,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\TextBlock.razor,LegacyComponents,text-slate-700,3
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectModalHost.razor,Modules,text-slate-700,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\CanvasBenchmark.razor,Sandbox,text-slate-900,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppTabStrip.razor,LegacyComponents,text-slate-900,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\TextBlock.razor,LegacyComponents,text-slate-900,3
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\Components\ProjectStructureAgentSettingsPanel.razor,Modules,text-slate-900,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components.CanvasLib\Components\Calendar\CalendarSelectionPanel.razor,CanvasLib,text-slate-950,3
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Factory\Pages\PromptFactoryPage.razor,Modules,text-slate-950,3
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,bg-rose-100,2
C:\repositories\CanDoItAll\Tailwind\navigation\workbench-shell.css,Tailwind,bg-sky-400/15,2
C:\repositories\CanDoItAll\Tailwind\surfaces\overlays.css,Tailwind,bg-sky-600,2
C:\repositories\CanDoItAll\Tailwind\navigation\workbench-shell.css,Tailwind,bg-slate-100,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\CardButton.razor,BaseLib,bg-slate-50,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.CanvasLib\Components\Calendar\CalendarSelectionPanel.razor,CanvasLib,bg-slate-50/85,2
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,bg-slate-800,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\CardButton.razor,BaseLib,bg-slate-800,2
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,bg-slate-900,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\CardButton.razor,BaseLib,bg-slate-900,2
C:\repositories\CanDoItAll\Tailwind\surfaces\admin.css,Tailwind,bg-white,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\CardButton.razor,BaseLib,bg-white,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\ParitySectionCard.razor,BaseLib,bg-white,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\StatBox.razor,BaseLib,bg-white,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\Compatibility\ProfileToggle.razor,BaseLib,bg-white,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\Fieldset.razor,BaseLib,bg-white,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Modals\Dialog.razor,BaseLib,bg-white,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.CanvasLib\Components\Calendar\CalendarSelectionPanel.razor,CanvasLib,bg-white,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Fieldset.razor,LegacyComponents,bg-white,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Steps.razor,LegacyComponents,bg-white,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppShell.razor,LegacyComponents,bg-white/10,2
C:\repositories\CanDoItAll\Tailwind\navigation\workbench-shell.css,Tailwind,bg-white/88,2
C:\repositories\CanDoItAll\Tailwind\navigation\workbench-shell.css,Tailwind,bg-white/90,2
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,border-rose-300,2
C:\repositories\CanDoItAll\Tailwind\layout\stats.css,Tailwind,border-slate-200,2
C:\repositories\CanDoItAll\Tailwind\navigation\workbench-shell.css,Tailwind,border-slate-200,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\ParitySectionCard.razor,BaseLib,border-slate-200,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\StatBox.razor,BaseLib,border-slate-200,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\DataVisualization\Chart.razor,BaseLib,border-slate-200,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\Compatibility\ProfileToggle.razor,BaseLib,border-slate-200,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\Fieldset.razor,BaseLib,border-slate-200,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\StickyActionFooter.razor,BaseLib,border-slate-200,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Modals\Dialog.razor,BaseLib,border-slate-200,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\Steps.razor,BaseLib,border-slate-200,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.CanvasLib\Components\Calendar\CalendarMiniMonthNavigator.razor,CanvasLib,border-slate-200,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\CanvasBenchmark.razor,Sandbox,border-slate-200,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Chart.razor,LegacyComponents,border-slate-200,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Fieldset.razor,LegacyComponents,border-slate-200,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectsBoard.razor,Modules,border-slate-200,2
C:\repositories\CanDoItAll\Tailwind\forms\fields.css,Tailwind,border-slate-300,2
C:\repositories\CanDoItAll\Tailwind\navigation\workbench-shell.css,Tailwind,border-slate-300,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\CardButton.razor,BaseLib,border-slate-300,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\DataVisualization\DataGrid.razor,BaseLib,border-slate-300,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\DataGrid.razor,LegacyComponents,border-slate-300,2
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,border-slate-800,2
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,border-slate-900,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectsBoard.razor,Modules,border-white/70,2
C:\repositories\CanDoItAll\Tailwind\surfaces\cards.css,Tailwind,shadow-slate-200/40,2
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,text-amber-900,2
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,text-emerald-800,2
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,text-fuchsia-800,2
C:\repositories\CanDoItAll\src\CanDoItAll.Web\Components\Layout\MainLayout.razor,WebApp,text-rose-700,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppShell.razor,LegacyComponents,text-sky-300,2
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,text-sky-800,2
C:\repositories\CanDoItAll\Tailwind\navigation\treeview.css,Tailwind,text-slate-100,2
C:\repositories\CanDoItAll\Tailwind\navigation\workbench-shell.css,Tailwind,text-slate-300,2
C:\repositories\CanDoItAll\Tailwind\forms\fields.css,Tailwind,text-slate-400,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\Compatibility\SheetField.razor,BaseLib,text-slate-400,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\Steps.razor,BaseLib,text-slate-400,2
C:\repositories\CanDoItAll\src\CanDoItAll.Web\Components\Layout\MainLayout.razor,WebApp,text-slate-400,2
C:\repositories\CanDoItAll\Tailwind\navigation\treeview.css,Tailwind,text-slate-500,2
C:\repositories\CanDoItAll\Tailwind\surfaces\admin.css,Tailwind,text-slate-500,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Activity\Pages\ActivityPage.razor,Modules,text-slate-500,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Automation\Pages\AutomationPage.razor,Modules,text-slate-500,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectsBoard.razor,Modules,text-slate-500,2
C:\repositories\CanDoItAll\Tailwind\layout\stats.css,Tailwind,text-slate-600,2
C:\repositories\CanDoItAll\Tailwind\navigation\tabs.css,Tailwind,text-slate-600,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\DataVisualization\DataGrid.razor,BaseLib,text-slate-600,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\Compatibility\ImmersiveRibbonTabs.razor,BaseLib,text-slate-600,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\RibbonTabs.razor,BaseLib,text-slate-600,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Typography\TextBlock.razor,BaseLib,text-slate-600,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.CanvasLib\Components\Calendar\CalendarExportMenu.razor,CanvasLib,text-slate-600,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\DataGrid.razor,LegacyComponents,text-slate-600,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Activity\Pages\ActivityPage.razor,Modules,text-slate-600,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectHierarchyModal.razor,Modules,text-slate-600,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectsBoard.razor,Modules,text-slate-600,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Validation\Pages\ValidationCenterPage.razor,Modules,text-slate-600,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\SettingsPage.razor,Modules,text-slate-600,2
C:\repositories\CanDoItAll\src\CanDoItAll.Web\Components\Pages\Home.razor,WebApp,text-slate-600,2
C:\repositories\CanDoItAll\Tailwind\navigation\treeview.css,Tailwind,text-slate-700,2
C:\repositories\CanDoItAll\Tailwind\surfaces\overlays.css,Tailwind,text-slate-700,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\CardButton.razor,BaseLib,text-slate-700,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\Compatibility\ProfileToggle.razor,BaseLib,text-slate-700,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\Fieldset.razor,BaseLib,text-slate-700,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Fieldset.razor,LegacyComponents,text-slate-700,2
C:\repositories\CanDoItAll\Tailwind\surfaces\admin.css,Tailwind,text-slate-950,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectsBoard.razor,Modules,text-slate-950,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Validation\Pages\ValidationCenterPage.razor,Modules,text-slate-950,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\SettingsPage.razor,Modules,text-slate-950,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\Steps.razor,BaseLib,text-violet-700,2
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,text-white,2
C:\repositories\CanDoItAll\Tailwind\navigation\treeview.css,Tailwind,text-white,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\CardButton.razor,BaseLib,text-white,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\SecondaryTabs.razor,BaseLib,text-white,2
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,bg-amber-100,1
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,bg-amber-200,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppTabStrip.razor,LegacyComponents,bg-amber-400,1
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,bg-amber-50,1
C:\repositories\CanDoItAll\Tailwind\layout\stats.css,Tailwind,bg-amber-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Badges\Badge.razor,BaseLib,bg-amber-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Badges\StatusBadge.razor,BaseLib,bg-amber-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Feedback\Alert.razor,BaseLib,bg-amber-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Feedback\Notification.razor,BaseLib,bg-amber-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Alert.razor,LegacyComponents,bg-amber-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Notification.razor,LegacyComponents,bg-amber-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\SummaryTile.razor,BaseLib,bg-amber-50/80,1
C:\repositories\CanDoItAll\src\CanDoItAll.Web\Components\Pages\Home.razor,WebApp,bg-amber-50/80,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Badges\Badge.razor,BaseLib,bg-cyan-50,1
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,bg-emerald-100,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.CanvasLib\Components\Calendar\CalendarCrudBridge.razor,CanvasLib,bg-emerald-100,1
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,bg-emerald-200,1
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,bg-emerald-50,1
C:\repositories\CanDoItAll\Tailwind\layout\stats.css,Tailwind,bg-emerald-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Badges\Badge.razor,BaseLib,bg-emerald-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Badges\StatusBadge.razor,BaseLib,bg-emerald-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\PriceBar.razor,BaseLib,bg-emerald-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Feedback\Alert.razor,BaseLib,bg-emerald-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Feedback\Notification.razor,BaseLib,bg-emerald-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\Steps.razor,BaseLib,bg-emerald-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Alert.razor,LegacyComponents,bg-emerald-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Notification.razor,LegacyComponents,bg-emerald-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Steps.razor,LegacyComponents,bg-emerald-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\Steps.razor,BaseLib,bg-emerald-50/40,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\SummaryTile.razor,BaseLib,bg-emerald-50/80,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Feedback\Callout.razor,BaseLib,bg-emerald-50/80,1
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,bg-fuchsia-100,1
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,bg-fuchsia-200,1
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,bg-fuchsia-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Badges\Badge.razor,BaseLib,bg-fuchsia-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Feedback\Alert.razor,BaseLib,bg-fuchsia-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Alert.razor,LegacyComponents,bg-fuchsia-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Steps.razor,LegacyComponents,bg-indigo-100,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Tabs.razor,LegacyComponents,bg-indigo-100,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\DataVisualization\ProgressBar.razor,BaseLib,bg-indigo-500,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\Switch.razor,BaseLib,bg-indigo-500,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\ProgressBar.razor,LegacyComponents,bg-indigo-500,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Switch.razor,LegacyComponents,bg-indigo-500,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Feedback\Alert.razor,BaseLib,bg-red-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Feedback\Notification.razor,BaseLib,bg-red-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Alert.razor,LegacyComponents,bg-red-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Notification.razor,LegacyComponents,bg-red-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Badges\StatusBadge.razor,BaseLib,bg-rose-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\SummaryTile.razor,BaseLib,bg-rose-50/80,1
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,bg-sky-100,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.CanvasLib\Components\Calendar\CalendarExportMenu.razor,CanvasLib,bg-sky-100,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.CanvasLib\Components\Calendar\CalendarMiniMonthNavigator.razor,CanvasLib,bg-sky-100,1
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,bg-sky-200,1
C:\repositories\CanDoItAll\Tailwind\navigation\workbench-shell.css,Tailwind,bg-sky-400/10,1
C:\repositories\CanDoItAll\Tailwind\navigation\treeview.css,Tailwind,bg-sky-400/20,1
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,bg-sky-50,1
C:\repositories\CanDoItAll\Tailwind\layout\stats.css,Tailwind,bg-sky-50,1
C:\repositories\CanDoItAll\Tailwind\navigation\tabs.css,Tailwind,bg-sky-50,1
C:\repositories\CanDoItAll\Tailwind\navigation\treeview.css,Tailwind,bg-sky-50,1
C:\repositories\CanDoItAll\Tailwind\navigation\workbench-shell.css,Tailwind,bg-sky-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Badges\Badge.razor,BaseLib,bg-sky-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Badges\StatusBadge.razor,BaseLib,bg-sky-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Feedback\Alert.razor,BaseLib,bg-sky-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Feedback\Notification.razor,BaseLib,bg-sky-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Alert.razor,LegacyComponents,bg-sky-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Notification.razor,LegacyComponents,bg-sky-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\TunableComponentBoundary.razor,LegacyComponents,bg-sky-50,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\ActionCard.razor,BaseLib,bg-sky-50/70,1
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Resources\Pages\ResourcesPage.razor,Modules,bg-sky-50/70,1
