Path,Area,Prefix,Token,Count
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppShell.razor,LegacyComponents,cda,cda-eyebrow,8
C:\repositories\CanDoItAll\src\CanDoItAll.Web\Components\Layout\MainLayout.razor,WebApp,cda,cda-eyebrow,8
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppTabStrip.razor,LegacyComponents,cda,cda-inline-tab,8
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Badges\Pill.razor,BaseLib,cda,cda-stat-pill,8
C:\repositories\CanDoItAll\Tailwind\navigation\tabs.css,Tailwind,cda,cda-tab-menu,8
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Validation\Pages\ValidationCenterPage.razor,Modules,cda,cda-field-label,7
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Prompts\Pages\PromptGalleryPage.razor,Modules,cda,cda-field-label,6
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\Components\ProjectStructureAgentSettingsPanel.razor,Modules,cda,cda-inline-option,6
C:\repositories\CanDoItAll\Tailwind\forms\fields.css,Tailwind,cda,cda-prefixed-field,6
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.TestLab\Pages\TestLabPage.razor,Modules,cda,cda-field-label,5
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\SettingsPage.razor,Modules,cda,cda-inline-option,5
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Prompts\Pages\PromptGalleryPage.razor,Modules,cda,cda-panel-card,5
C:\repositories\CanDoItAll\src\CanDoItAll.Web\Components\Layout\ReconnectModal.razor,WebApp,cda,cda-reconnect-copy,5
C:\repositories\CanDoItAll\src\CanDoItAll.Web\Components\Layout\MainLayout.razor,WebApp,cda,cda-shell-stat-card,5
C:\repositories\CanDoItAll\Tailwind\navigation\treeview.css,Tailwind,cda,cda-treeview--workbench,5
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectHierarchyModal.razor,Modules,cda,cda-eyebrow,4
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Prompts\Pages\PromptGalleryPage.razor,Modules,cda,cda-eyebrow,4
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppShell.razor,LegacyComponents,cda,cda-eyebrow--tight,4
C:\repositories\CanDoItAll\Tailwind\navigation\tabs.css,Tailwind,cda,cda-inline-tab,4
C:\repositories\CanDoItAll\Tailwind\forms\fields.css,Tailwind,cda,cda-input,4
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectsBoard.razor,Modules,cda,cda-input,4
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectsBoard.razor,Modules,cda,cda-input--toolbar,4
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\MetricCard.razor,BaseLib,cda,cda-metric-card,4
C:\repositories\CanDoItAll\Tailwind\forms\fields.css,Tailwind,cda,cda-prefixed-field--stack-mobile,4
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppShell.razor,LegacyComponents,cda,cda-shell-mobile-card,4
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppShell.razor,LegacyComponents,cda,cda-shell-mobile-card--inactive,4
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\Components\ProjectStructureAgentSettingsPanel.razor,Modules,cda,cda-admin-code-label,3
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\Components\ProjectStructureAgentSettingsPanel.razor,Modules,cda,cda-admin-kicker,3
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,cda,cda-button,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Buttons\Button.razor,BaseLib,cda,cda-button,3
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectsBoard.razor,Modules,cda,cda-button--quick,3
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,cda,cda-button--tone-base,3
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,cda,cda-button--tone-danger,3
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,cda,cda-button--tone-dark,3
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,cda,cda-button--tone-info,3
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,cda,cda-button--tone-light,3
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,cda,cda-button--tone-primary,3
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,cda,cda-button--tone-secondary,3
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,cda,cda-button--tone-success,3
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,cda,cda-button--tone-warning,3
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\Components\ProjectStructureAgentSettingsPanel.razor,Modules,cda,cda-code-input,3
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Validation\Pages\ValidationCenterPage.razor,Modules,cda,cda-eyebrow,3
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectModalHost.razor,Modules,cda,cda-eyebrow--tight,3
C:\repositories\CanDoItAll\Tailwind\forms\fields.css,Tailwind,cda,cda-form-field,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\FormField.razor,BaseLib,cda,cda-form-field,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\Grid.razor,BaseLib,cda,cda-grid-columns,3
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectModalHost.razor,Modules,cda,cda-input--textarea,3
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\SettingsPage.razor,Modules,cda,cda-input--textarea,3
C:\repositories\CanDoItAll\Tailwind\layout\stats.css,Tailwind,cda,cda-metric-card,3
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.TestLab\Pages\TestLabPage.razor,Modules,cda,cda-panel-card,3
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Prompts\Pages\PromptGalleryPage.razor,Modules,cda,cda-panel-card--soft,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\PrefixedField.razor,BaseLib,cda,cda-prefixed-field,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppShell.razor,LegacyComponents,cda,cda-shell-card-dark,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\Split.razor,BaseLib,cda,cda-split-gap,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\TreeView.razor,BaseLib,cda,cda-treeview,3
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\Components\ProjectStructureAgentSettingsPanel.razor,Modules,cda,cda-admin-copy,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\Components\ProjectStructureAgentSettingsPanel.razor,Modules,cda,cda-admin-empty,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\Components\ProjectStructureAgentSettingsPanel.razor,Modules,cda,cda-admin-panel,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\Components\ProjectStructureAgentSettingsPanel.razor,Modules,cda,cda-admin-subpanel,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Button.razor,LegacyComponents,cda,cda-button,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\Cluster.razor,BaseLib,cda,cda-cluster-align,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\Cluster.razor,BaseLib,cda,cda-cluster-gap,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\Cluster.razor,BaseLib,cda,cda-cluster-justify,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Typography\TextBlock.razor,BaseLib,cda,cda-eyebrow,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Activity\Pages\ActivityPage.razor,Modules,cda,cda-eyebrow,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Resources\Pages\ResourcesPage.razor,Modules,cda,cda-eyebrow,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\SettingsPage.razor,Modules,cda,cda-eyebrow,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Typography\TextBlock.razor,BaseLib,cda,cda-eyebrow--tight,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectHierarchyModal.razor,Modules,cda,cda-eyebrow--tight,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Validation\Pages\ValidationCenterPage.razor,Modules,cda,cda-eyebrow--tight,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\Grid.razor,BaseLib,cda,cda-grid-column-gap,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\Grid.razor,BaseLib,cda,cda-grid-columns-2xl,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\Grid.razor,BaseLib,cda,cda-grid-columns-lg,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\Grid.razor,BaseLib,cda,cda-grid-columns-md,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\Grid.razor,BaseLib,cda,cda-grid-columns-sm,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\Grid.razor,BaseLib,cda,cda-grid-columns-xl,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\Grid.razor,BaseLib,cda,cda-grid-gap,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\Grid.razor,BaseLib,cda,cda-grid-row-gap,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\Grid.razor,BaseLib,cda,cda-grid-rows,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\Grid.razor,BaseLib,cda,cda-grid-rows-2xl,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\Grid.razor,BaseLib,cda,cda-grid-rows-lg,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\Grid.razor,BaseLib,cda,cda-grid-rows-md,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\Grid.razor,BaseLib,cda,cda-grid-rows-sm,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\Grid.razor,BaseLib,cda,cda-grid-rows-xl,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Resources\Pages\ResourcesPage.razor,Modules,cda,cda-inline-option,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\Components\ProjectStructureAgentSettingsPanel.razor,Modules,cda,cda-inline-option--muted,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Automation\Pages\AutomationPage.razor,Modules,cda,cda-input,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\Components\ProjectStructureAgentSettingsPanel.razor,Modules,cda,cda-input--textarea,2
C:\repositories\CanDoItAll\Tailwind\forms\fields.css,Tailwind,cda,cda-prefixed-field-suffix-pad,2
C:\repositories\CanDoItAll\src\CanDoItAll.Web\Components\Layout\ReconnectModal.razor,WebApp,cda,cda-reconnect-action,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppShell.razor,LegacyComponents,cda,cda-shell-mobile-card--active,2
C:\repositories\CanDoItAll\src\CanDoItAll.Web\Components\Layout\MainLayout.razor,WebApp,cda,cda-shell-pill,2
C:\repositories\CanDoItAll\Tailwind\layout\stats.css,Tailwind,cda,cda-stat-pill,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Badges\Pill.razor,BaseLib,cda,cda-stat-pill--neutral,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Badges\Pill.razor,BaseLib,cda,cda-stat-pill--plain,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppTabStrip.razor,LegacyComponents,cda,cda-tab-summary-action,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppTabStrip.razor,LegacyComponents,cda,cda-tab-summary-chip,2
C:\repositories\CanDoItAll\Tailwind\surfaces\cards.css,Tailwind,cda,cda-action-card,1
C:\repositories\CanDoItAll\Tailwind\surfaces\admin.css,Tailwind,cda,cda-admin-code-label,1
C:\repositories\CanDoItAll\Tailwind\surfaces\admin.css,Tailwind,cda,cda-admin-copy,1
C:\repositories\CanDoItAll\Tailwind\surfaces\admin.css,Tailwind,cda,cda-admin-empty,1
C:\repositories\CanDoItAll\Tailwind\surfaces\admin.css,Tailwind,cda,cda-admin-heading,1
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\Components\ProjectStructureAgentSettingsPanel.razor,Modules,cda,cda-admin-heading,1
C:\repositories\CanDoItAll\Tailwind\surfaces\admin.css,Tailwind,cda,cda-admin-kicker,1
C:\repositories\CanDoItAll\Tailwind\surfaces\admin.css,Tailwind,cda,cda-admin-knowledge-card,1
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\Components\ProjectStructureAgentSettingsPanel.razor,Modules,cda,cda-admin-knowledge-card,1
C:\repositories\CanDoItAll\Tailwind\surfaces\admin.css,Tailwind,cda,cda-admin-note,1
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\Components\ProjectStructureAgentSettingsPanel.razor,Modules,cda,cda-admin-note,1
C:\repositories\CanDoItAll\Tailwind\surfaces\admin.css,Tailwind,cda,cda-admin-panel,1
C:\repositories\CanDoItAll\Tailwind\surfaces\admin.css,Tailwind,cda,cda-admin-subpanel,1
C:\repositories\CanDoItAll\Tailwind\surfaces\admin.css,Tailwind,cda,cda-admin-title,1
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\Components\ProjectStructureAgentSettingsPanel.razor,Modules,cda,cda-admin-title,1
C:\repositories\CanDoItAll\Tailwind\surfaces\cards.css,Tailwind,cda,cda-board-card,1
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectsPresentation.cs,Modules,cda,cda-board-card,1
C:\repositories\CanDoItAll\Tailwind\typography\text.css,Tailwind,cda,cda-body-muted,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Buttons\Button.razor,BaseLib,cda,cda-button--filled,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Button.razor,LegacyComponents,cda,cda-button--filled,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Buttons\Button.razor,BaseLib,cda,cda-button--outlined,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Button.razor,LegacyComponents,cda,cda-button--outlined,1
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,cda,cda-button--quick,1
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,cda,cda-button--size-lg,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Buttons\Button.razor,BaseLib,cda,cda-button--size-lg,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Button.razor,LegacyComponents,cda,cda-button--size-lg,1
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,cda,cda-button--size-md,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Buttons\Button.razor,BaseLib,cda,cda-button--size-md,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Button.razor,LegacyComponents,cda,cda-button--size-md,1
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,cda,cda-button--size-sm,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Buttons\Button.razor,BaseLib,cda,cda-button--size-sm,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Button.razor,LegacyComponents,cda,cda-button--size-sm,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Buttons\Button.razor,BaseLib,cda,cda-button--text,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Button.razor,LegacyComponents,cda,cda-button--text,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Buttons\Button.razor,BaseLib,cda,cda-button--tone-base,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Button.razor,LegacyComponents,cda,cda-button--tone-base,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Buttons\Button.razor,BaseLib,cda,cda-button--tone-danger,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Button.razor,LegacyComponents,cda,cda-button--tone-danger,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Buttons\Button.razor,BaseLib,cda,cda-button--tone-dark,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Button.razor,LegacyComponents,cda,cda-button--tone-dark,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Buttons\Button.razor,BaseLib,cda,cda-button--tone-info,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Button.razor,LegacyComponents,cda,cda-button--tone-info,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Buttons\Button.razor,BaseLib,cda,cda-button--tone-light,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Button.razor,LegacyComponents,cda,cda-button--tone-light,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Buttons\Button.razor,BaseLib,cda,cda-button--tone-primary,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Button.razor,LegacyComponents,cda,cda-button--tone-primary,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Buttons\Button.razor,BaseLib,cda,cda-button--tone-secondary,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Button.razor,LegacyComponents,cda,cda-button--tone-secondary,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Buttons\Button.razor,BaseLib,cda,cda-button--tone-success,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Button.razor,LegacyComponents,cda,cda-button--tone-success,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Buttons\Button.razor,BaseLib,cda,cda-button--tone-warning,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Button.razor,LegacyComponents,cda,cda-button--tone-warning,1
C:\repositories\CanDoItAll\Tailwind\surfaces\cards.css,Tailwind,cda,cda-card,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\Card.razor,BaseLib,cda,cda-card,1
C:\repositories\CanDoItAll\Tailwind\forms\fields.css,Tailwind,cda,cda-code-input,1
C:\repositories\CanDoItAll\Tailwind\typography\text.css,Tailwind,cda,cda-copy-strong,1
C:\repositories\CanDoItAll\Tailwind\typography\text.css,Tailwind,cda,cda-eyebrow,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\SummaryTile.razor,BaseLib,cda,cda-eyebrow,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\StickyActionFooter.razor,BaseLib,cda,cda-eyebrow,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Modals\Dialog.razor,BaseLib,cda,cda-eyebrow,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\Steps.razor,BaseLib,cda,cda-eyebrow,1
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectsBoard.razor,Modules,cda,cda-eyebrow,1
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.TestLab\Pages\TestLabPage.razor,Modules,cda,cda-eyebrow,1
C:\repositories\CanDoItAll\Tailwind\typography\text.css,Tailwind,cda,cda-eyebrow--tight,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\StickyActionFooter.razor,BaseLib,cda,cda-eyebrow--tight,1
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectsBoard.razor,Modules,cda,cda-eyebrow--tight,1
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Resources\Pages\ResourcesPage.razor,Modules,cda,cda-eyebrow--tight,1
C:\repositories\CanDoItAll\Tailwind\forms\fields.css,Tailwind,cda,cda-field-label,1
C:\repositories\CanDoItAll\src\CanDoItAll.Web\Components\Layout\MainLayout.razor,WebApp,cda,cda-field-label,1
C:\repositories\CanDoItAll\Tailwind\forms\fields.css,Tailwind,cda,cda-inline-option,1
C:\repositories\CanDoItAll\Tailwind\forms\fields.css,Tailwind,cda,cda-inline-option--muted,1
C:\repositories\CanDoItAll\Tailwind\navigation\tabs.css,Tailwind,cda,cda-inline-tab--active,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppTabStrip.razor,LegacyComponents,cda,cda-inline-tab--active,1
C:\repositories\CanDoItAll\Tailwind\navigation\tabs.css,Tailwind,cda,cda-inline-tab--inactive,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppTabStrip.razor,LegacyComponents,cda,cda-inline-tab--inactive,1
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Activity\Pages\ActivityPage.razor,Modules,cda,cda-input,1
C:\repositories\CanDoItAll\src\CanDoItAll.Web\Components\Layout\MainLayout.razor,WebApp,cda,cda-input,1
C:\repositories\CanDoItAll\Tailwind\forms\fields.css,Tailwind,cda,cda-input--mono,1
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Prompts\Pages\PromptGalleryPage.razor,Modules,cda,cda-input--mono,1
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Validation\Pages\ValidationCenterPage.razor,Modules,cda,cda-input--mono,1
C:\repositories\CanDoItAll\Tailwind\forms\fields.css,Tailwind,cda,cda-input--textarea,1
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Prompts\Pages\PromptGalleryPage.razor,Modules,cda,cda-input--textarea,1
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Resources\Pages\ResourcesPage.razor,Modules,cda,cda-input--textarea,1
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.TestLab\Pages\TestLabPage.razor,Modules,cda,cda-input--textarea,1
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Validation\Pages\ValidationCenterPage.razor,Modules,cda,cda-input--textarea,1
C:\repositories\CanDoItAll\src\CanDoItAll.Web\Components\Layout\MainLayout.razor,WebApp,cda,cda-input--textarea,1
C:\repositories\CanDoItAll\Tailwind\forms\fields.css,Tailwind,cda,cda-input--toolbar,1
C:\repositories\CanDoItAll\Tailwind\surfaces\cards.css,Tailwind,cda,cda-modal-shell,1
C:\repositories\CanDoItAll\Tailwind\navigation\page-header.css,Tailwind,cda,cda-page-header--compact,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\PageHeader.razor,BaseLib,cda,cda-page-header--compact,1
C:\repositories\CanDoItAll\Tailwind\surfaces\cards.css,Tailwind,cda,cda-panel-card,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\PanelCard.razor,BaseLib,cda,cda-panel-card,1
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectModalHost.razor,Modules,cda,cda-panel-card,1
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Validation\Pages\ValidationCenterPage.razor,Modules,cda,cda-panel-card,1
C:\repositories\CanDoItAll\src\CanDoItAll.Web\Components\Pages\Home.razor,WebApp,cda,cda-panel-card,1
C:\repositories\CanDoItAll\Tailwind\surfaces\cards.css,Tailwind,cda,cda-panel-card--soft,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\PanelCard.razor,BaseLib,cda,cda-panel-card--soft,1
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Activity\Pages\ActivityPage.razor,Modules,cda,cda-panel-card--soft,1
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Automation\Pages\AutomationPage.razor,Modules,cda,cda-panel-card--soft,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\PrefixedField.razor,BaseLib,cda,cda-prefixed-field--stack-mobile,1
C:\repositories\CanDoItAll\Tailwind\forms\fields.css,Tailwind,cda,cda-prefixed-field-prefix-pad,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\PrefixedField.razor,BaseLib,cda,cda-prefixed-field-prefix-pad,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\PrefixedField.razor,BaseLib,cda,cda-prefixed-field-suffix-pad,1
C:\repositories\CanDoItAll\Tailwind\surfaces\overlays.css,Tailwind,cda,cda-reconnect-action,1
