Path,Area,PrefixTokens,DistinctPrefixTokens,ColorTokens,DistinctColorTokens,ThemeHooks,Routes,RoundingTokens
C:\repositories\CanDoItAll\src\CanDoItAll.Components.CanvasLib\wwwroot\js\calendar\controller\03-editor-and-toolbar.js,CanvasLib,32,15,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Validation\Pages\ValidationCenterPage.razor,Modules,25,7,7,5,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\Grid.razor,BaseLib,31,15,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workbench\Pages\ProjectCalendarPage.razor,Modules,0,0,31,9,0,1,10
C:\repositories\CanDoItAll\Tailwind\surfaces\cards.css,Tailwind,8,8,22,12,0,0,8
C:\repositories\CanDoItAll\Tailwind\surfaces\admin.css,Tailwind,10,10,17,7,0,0,5
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectsBoard.razor,Modules,13,5,14,9,0,0,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\Tabs.razor,BaseLib,24,13,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Buttons\Button.razor,BaseLib,23,19,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Badges\Badge.razor,BaseLib,0,0,21,21,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.CanvasLib\Components\Calendar\CalendarSelectionPanel.razor,CanvasLib,0,0,21,9,0,0,6
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Typography\TextBlock.razor,BaseLib,4,2,15,6,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Badges\StatusBadge.razor,BaseLib,0,0,18,18,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Feedback\Alert.razor,BaseLib,0,0,18,18,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Alert.razor,LegacyComponents,0,0,18,18,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Button.razor,LegacyComponents,17,16,0,0,0,0,0
C:\repositories\CanDoItAll\Tailwind\layout\sheets.css,Tailwind,15,13,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Badges\Pill.razor,BaseLib,15,6,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\Compatibility\ImmersiveRibbonTabs.razor,BaseLib,0,0,15,8,0,0,4
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\RibbonTabs.razor,BaseLib,0,0,15,8,0,0,4
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\TreeViewNodeRow.razor,BaseLib,15,2,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.CanvasLib\Components\Calendar\CalendarMiniMonthNavigator.razor,CanvasLib,0,0,15,14,0,0,4
C:\repositories\CanDoItAll\Tailwind\navigation\page-header.css,Tailwind,10,2,4,4,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\CardButton.razor,BaseLib,0,0,14,7,0,0,4
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\SummaryTile.razor,BaseLib,1,1,13,13,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Modals\Dialog.razor,BaseLib,1,1,13,11,0,0,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\PageHeader.razor,BaseLib,14,2,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.CanvasLib\Components\Calendar\CalendarEventEditorModal.razor,CanvasLib,0,0,14,12,0,0,4
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Factory\Pages\PromptFactoryPage.razor,Modules,0,0,14,6,0,1,3
C:\repositories\CanDoItAll\Tailwind\surfaces\overlays.css,Tailwind,5,5,8,6,0,0,2
C:\repositories\CanDoItAll\Tailwind\typography\text.css,Tailwind,7,7,6,3,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\SecondaryTabs.razor,BaseLib,0,0,13,12,0,0,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\CanvasBenchmark.razor,Sandbox,0,0,13,8,0,1,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Steps.razor,LegacyComponents,0,0,13,12,0,0,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Feedback\Notification.razor,BaseLib,0,0,12,12,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Notification.razor,LegacyComponents,0,0,12,12,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Activity\Pages\ActivityPage.razor,Modules,6,5,6,4,0,1,0
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectHierarchyModal.razor,Modules,6,2,6,2,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\TagEditor.razor,BaseLib,10,1,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\StickyActionFooter.razor,BaseLib,2,2,8,7,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Lists\SelectionListItem.razor,BaseLib,0,0,10,10,0,0,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.CanvasLib\Components\Calendar\CalendarTimeGridRenderer.razor,CanvasLib,0,0,10,7,0,0,4
C:\repositories\CanDoItAll\src\CanDoItAll.Web\Components\Layout\ReconnectModal.razor,WebApp,10,5,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\Compatibility\ProfileToggle.razor,BaseLib,3,2,6,3,0,0,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.CanvasLib\Components\Calendar\CalendarExportMenu.razor,CanvasLib,0,0,9,8,0,0,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Feedback\LoadingState.razor,BaseLib,0,0,8,6,0,0,4
C:\repositories\CanDoItAll\src\CanDoItAll.Components.CanvasLib\Components\Calendar\CalendarCrudBridge.razor,CanvasLib,0,0,8,8,0,0,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\TextBlock.razor,LegacyComponents,0,0,8,4,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\DataVisualization\DataGrid.razor,BaseLib,0,0,7,5,0,0,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\Compatibility\ProfileField.razor,BaseLib,7,4,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.CanvasLib\Components\Calendar\CanvasCalendar.razor,CanvasLib,1,1,0,0,6,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.CanvasLib\Components\Workbench\CanvasWorkbench.razor,CanvasLib,0,0,0,0,7,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\DataGrid.razor,LegacyComponents,0,0,7,5,0,0,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Automation\Pages\AutomationPage.razor,Modules,3,2,4,3,0,1,0
C:\repositories\CanDoItAll\src\CanDoItAll.Web\Components\Pages\Home.razor,WebApp,1,1,6,5,0,2,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\CardStatsWithNumber.razor,BaseLib,6,3,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\PriceBar.razor,BaseLib,0,0,6,6,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\DataVisualization\Chart.razor,BaseLib,0,0,6,5,0,0,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Feedback\Callout.razor,BaseLib,0,0,6,6,0,0,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\Fieldset.razor,BaseLib,0,0,6,3,0,0,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\PrefixedField.razor,BaseLib,6,4,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\Cluster.razor,BaseLib,6,3,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\Inputs.razor,Sandbox,0,0,6,2,0,1,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Chart.razor,LegacyComponents,0,0,6,5,0,0,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Fieldset.razor,LegacyComponents,0,0,6,3,0,0,2
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectsPresentation.cs,Modules,1,1,5,5,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\ActionCard.razor,BaseLib,0,0,5,5,0,0,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\SectionCard.razor,BaseLib,0,0,5,5,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Feedback\EmptyState.razor,BaseLib,0,0,5,5,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Lists\ListDetailShell.razor,BaseLib,0,0,5,3,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Tabs.razor,LegacyComponents,0,0,5,5,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\MetricCard.razor,BaseLib,4,1,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\ParitySectionCard.razor,BaseLib,0,0,4,2,0,0,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\StatBox.razor,BaseLib,0,0,4,2,0,0,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\Compatibility\SheetField.razor,BaseLib,2,1,2,1,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\FormSection.razor,BaseLib,0,0,4,4,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\WorkspacePanel.razor,BaseLib,0,0,4,4,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\TreeView.razor,BaseLib,4,2,0,0,0,0,0
C:\repositories\CanDoItAll\tests\CanDoItAll.Tests.Components\CanvasThemeTokenPackTests.cs,Tests,0,0,0,0,4,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Badges\Chip.razor,BaseLib,0,0,3,3,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\Compatibility\SheetCard.razor,BaseLib,3,2,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\Compatibility\SheetCardHeading.razor,BaseLib,0,0,3,3,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\Compatibility\SheetGrid.razor,BaseLib,3,2,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\Compatibility\SheetNote.razor,BaseLib,0,0,3,3,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\Compatibility\DebugToggle.razor,BaseLib,0,0,3,3,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\DropDown.razor,BaseLib,0,0,3,3,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\FormField.razor,BaseLib,3,1,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\Numeric.razor,BaseLib,0,0,3,3,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\Password.razor,BaseLib,0,0,3,3,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\TextArea.razor,BaseLib,0,0,3,3,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\TextBox.razor,BaseLib,0,0,3,3,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Identity\Avatar.razor,BaseLib,0,0,3,3,0,0,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\Split.razor,BaseLib,3,1,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\FilterBar.razor,BaseLib,0,0,3,3,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Typography\SmallText.razor,BaseLib,0,0,3,1,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.CanvasLib\Canvas\Core\CanvasThemeTokenPack.cs,CanvasLib,0,0,0,0,3,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\DropDown.razor,LegacyComponents,0,0,3,3,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Numeric.razor,LegacyComponents,0,0,3,3,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Password.razor,LegacyComponents,0,0,3,3,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\TextArea.razor,LegacyComponents,0,0,3,3,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\TextBox.razor,LegacyComponents,0,0,3,3,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\TunableComponentBoundary.razor,LegacyComponents,0,0,3,3,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\AuthCard.razor,BaseLib,0,0,2,2,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\Compatibility\BuilderStatBox.razor,BaseLib,0,0,2,2,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\Compatibility\BuilderStatStrip.razor,BaseLib,0,0,2,2,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\PanelCard.razor,BaseLib,2,2,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\SurfaceCard.razor,BaseLib,2,2,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\DataVisualization\ProgressBar.razor,BaseLib,0,0,2,2,0,0,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\CheckBox.razor,BaseLib,0,0,2,2,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\SettingsSwitchRow.razor,BaseLib,0,0,2,2,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\Switch.razor,BaseLib,0,0,2,2,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Identity\CreatorSocialLink.razor,BaseLib,0,0,2,2,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\WorkspaceSplit.razor.css,BaseLib,2,1,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Lists\FactTable.razor,BaseLib,0,0,2,2,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Lists\ListItem.razor,BaseLib,0,0,2,2,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Lists\ListPanelHeader.razor,BaseLib,0,0,2,2,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\LegalToc.razor,BaseLib,0,0,2,2,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Typography\SectionHeading.razor,BaseLib,1,1,1,1,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\Canvas.razor,Sandbox,0,0,2,2,0,1,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\Overlays.razor,Sandbox,0,0,2,2,0,1,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Card.razor,LegacyComponents,0,0,2,2,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\CheckBox.razor,LegacyComponents,0,0,2,2,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\ProgressBar.razor,LegacyComponents,0,0,2,2,0,0,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Switch.razor,LegacyComponents,0,0,2,2,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Mcp.Components\Catalog\ComponentCatalogService.cs,Other,0,0,0,0,2,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workbench\Components\ProjectEventsCalendar.razor,Modules,0,0,2,2,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workbench\Components\ProjectStructureCanvas.razor,Modules,0,0,2,2,0,0,1
C:\repositories\CanDoItAll\tests\CanDoItAll.Tests.Playwright\AppSmokeTests.cs,Tests,0,0,2,2,0,0,0
C:\repositories\CanDoItAll\Tailwind\layout\stacks.css,Tailwind,1,1,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\Card.razor,BaseLib,1,1,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\CardActions.razor,BaseLib,0,0,1,1,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\Compatibility\SheetSection.razor,BaseLib,1,1,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\HeroCard.razor,BaseLib,0,0,1,1,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\PriceRow.razor,BaseLib,0,0,1,1,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\StatsCardRow.razor,BaseLib,1,1,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\SettingsSwitchLabel.razor,BaseLib,0,0,1,1,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\Slider.razor,BaseLib,0,0,1,1,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Identity\CreatorLine.razor,BaseLib,0,0,1,1,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Layout\WorkspaceSplit.razor,BaseLib,1,1,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Lists\MetaList.razor,BaseLib,0,0,1,1,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Lists\PlainList.razor,BaseLib,0,0,1,1,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\LegalTocNav.razor,BaseLib,0,0,1,1,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\Toolbar.razor,BaseLib,1,1,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\ToolbarActions.razor,BaseLib,1,1,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\ToolbarFields.razor,BaseLib,1,1,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\ToolbarRow.razor,BaseLib,1,1,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Typography\Divider.razor,BaseLib,0,0,1,1,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Typography\MutedInline.razor,BaseLib,0,0,1,1,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.CanvasLib\Components\Shared\Assets\CanvasLibBodyAssets.razor,CanvasLib,1,1,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Layout\MainLayout.razor,Sandbox,0,0,1,1,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\FormField.razor,LegacyComponents,0,0,1,1,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Slider.razor,LegacyComponents,0,0,1,1,0,0,1
C:\repositories\CanDoItAll\src\CanDoItAll.Mcp.DotNetWatch\Manager\BackendDashboardPage.cs,Other,0,0,0,0,1,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workbench\Pages\Components\ProjectStructure\ProjectStructureNodeDetailPreview.razor,Modules,0,0,1,1,0,0,0
C:\repositories\CanDoItAll\tests\CanDoItAll.Mcp.Components.Tests\ComponentCatalogServiceTests.cs,Tests,0,0,0,0,1,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\Actions.razor,Sandbox,0,0,0,0,0,1,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\DataDisplay.razor,Sandbox,0,0,0,0,0,1,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\Feedback.razor,Sandbox,0,0,0,0,0,1,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\Foundations.razor,Sandbox,0,0,0,0,0,1,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\Home.razor,Sandbox,0,0,0,0,0,1,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\Layout.razor,Sandbox,0,0,0,0,0,1,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\Navigation.razor,Sandbox,0,0,0,0,0,1,0
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\ProjectsPage.razor,Modules,0,0,0,0,0,1,0
C:\repositories\CanDoItAll\src\CanDoItAll.Web\Components\Pages\Error.razor,WebApp,0,0,0,0,0,1,0
C:\repositories\CanDoItAll\src\CanDoItAll.Web\Components\Pages\NotFound.razor,WebApp,0,0,0,0,0,1,0
C:\repositories\CanDoItAll\tests\CanDoItAll.Tests.Integration\CapsuleCatalogServiceIntegrationTests.cs,Tests,0,0,0,0,0,1,0
