"Path","BeforeSHA256","BeforeSource","AfterSHA256"
"repo://codex/bundles/shared-provider-real-catalogs/requirements/01-normalized-requirements.md","FE047BFC7D1CCF9434BE8CC9B19CDF70AA0C7575452A1994F1988B0D0A855278","Baseline HEAD 3b998b363 raw Git blob, not exact pre-edit working-tree bytes","D0054D236850584E3190C2606413D9FF11D0968669A54A12D38385C6240DAAA6"
"repo://codex/bundles/shared-provider-real-catalogs/reviews/01-execution-report.md","00603926E22D10C0E7F231141C6B8980C41F6C28AC03B15BFE0E8A6864DB15FD","Baseline HEAD 3b998b363 raw Git blob, not exact pre-edit working-tree bytes","8922ADB4766303B3B52563DA174E209F8D178FEC37462C634A485DFDE94A3125"
"repo://codex/bundles/shared-provider-real-catalogs/reviews/02-final-verifier.md","4272B6E849AAD0B089F8EB2F2CAB60DAB2D3864B9D9F09DAC60C913DB57146B8","Baseline HEAD 3b998b363 raw Git blob, not exact pre-edit working-tree bytes","32D07D3B3030F49B1AA53C34766104BE8BB23AD8D9238D482FF0E86A5393C0BF"
"repo://codex/bundles/shared-provider-real-catalogs/reviews/csharp-architecture-gate.md","4C4B89E97E20631F4AE8F903466824ECD601DCC664EF6F38114427526396ABCA","Baseline HEAD 3b998b363 raw Git blob, not exact pre-edit working-tree bytes","DEE6FD5C2DA3221356A1E43E4C04E5B5E903D9048789A872A0FF4A783FE63670"
"repo://codex/bundles/shared-provider-real-catalogs/subbundles/03-local-simple-chat-access/README.md","ABSENT-new-file","New file in SB03","DFCED10CD77913F51DE999E887547F9DA9B8D1578D1B50C00B0085D5E22033F9"
"repo://codex/bundles/shared-provider-real-catalogs/traceability/01-requirement-traceability.md","A99F7DD0CE1664F7E2B82A53BDCC8F864B8212A3D1FF809CE48737468C9E645D","Baseline HEAD 3b998b363 raw Git blob, not exact pre-edit working-tree bytes","1B7177FF3BDA37362BD27F799903C3610E2D5A979000ECFC3E667A003CAA08F7"
"repo://codex/bundles/shared-providers/subbundles/SPMETA-source-metadata-mirroring/proof/Restart-TestInstances.ps1","DB8F5E4BBC1EFDF320FB05E1D9CADD706534438DD1A1B35B6DCD939EE214D6F2","Exact pre-edit working-tree capture","A9A1F690A6C074F3333FC74ACFC0427F4DC9DA3716CF49CF449ADDF4FF8DB0CC"
"repo://docs/llm-chats-api.md","14D98545ADD89CDEEF7209DC697775D38DCF10F95BBE46E0FD7039878C8D865D","Baseline HEAD 3b998b363 raw Git blob, not exact pre-edit working-tree bytes","F3569905BC9F596E0A2DC96FBED954398AD8AB0877AE87B4DE98C1E1D37D827E"
"repo://docs/operations/containers.md","81CD9B683ADA9CF993CDBDED5E44082810FB96A3CE4D60E5BEEDB1BD216AD2F3","Baseline HEAD 3b998b363 raw Git blob, not exact pre-edit working-tree bytes","6A74B303F929CE93DBBF73F5D9EBACCC5D2A32A77C9B25095DAE77C34AE018C8"
"repo://src/App/CanDoItAll.Web/Infrastructure/InteractiveServerServiceCollectionExtensions.cs","6DA689242D29E21CE252C1A479964FE05E72172C87797ED59858EC2FEB7A7652","Exact pre-edit working-tree capture","609719B98F6DD100B5DD3FD856D8B5D278B60D63EADEA3CCCE63F49DA2F26952"
"repo://src/App/CanDoItAll.Web/Infrastructure/LocalOperatorAuthenticationStateProvider.cs","EB6DCC6FF953CA0DB56293A591F6C60B3E0A811104E4514FB65CA5E329C2C5E4","Exact pre-edit working-tree capture","4577D8334EFED83F9E387D66BB91BA5B0B6DAE8B7B815F10924AB978799ABD6C"
"repo://src/App/CanDoItAll.Web/Infrastructure/LocalOperatorUiOptions.cs","ABSENT","Exact pre-edit working-tree capture","38E6145B93FB370DF8A4930AADD308C35D9A3A63C64F194F074104384444A5DC"
"repo://tests/Components/CanDoItAll.Tests.Components/LocalOperatorAuthenticationStateProviderTests.cs","17B35F5618AD90143881B8DF88DBBA4DF371A44411436160DA7D7CD7554F105E","Exact pre-edit working-tree capture","573693BA8BB3A206B308A4C470BEFD59771FFF968A88465FF6845FA41011AECF"
"repo://tests/Components/CanDoItAll.Tests.Components/LocalOperatorUiAccessTests.cs","ABSENT","Exact pre-edit working-tree capture","63EBBA28FB7E8599E75A66D188234CF20CF125AFFAE022F8CF1DF38716ED031E"
"repo://tests/Integration/CanDoItAll.Tests.Integration/ApiAccessAuthorizationIntegrationTests.cs","E38866ECC27256B3D64E9EA31B8028464FF39D115B9D022693BA6706EC4E0F6F","Exact pre-edit working-tree capture","7A25438A294D4B1CDA4EDDCFFA096525AD5038550439B7128411A18F063D947B"
"repo://tests/Playwright/CanDoItAll.Tests.Playwright/LocalSimpleChatBrowserAccessTests.cs","ABSENT-new-file","New file in SB03","0E5678BA15EE59E48492483730534392E0A3C32E89DF0725666D0C1692472FF7"
"repo://tests/Playwright/CanDoItAll.Tests.Playwright/SharedProviderMetadataUiChecks.cs","0B5C83C86EC6538DBE42ACEB67F2F1694FF127C85DBA736E67145909738AA954","Baseline HEAD 3b998b363 raw Git blob, not exact pre-edit working-tree bytes","BC30B5A8923625D89A39065807694337BC36BDBD93B82E2374CB14CE261632CE"
