host,trialId,editId,category,outcome,elapsedMs,mechanism
post,post-css-tailwind-v2-1,css-tailwind,CSS,success,10734.627,hot reload
post,post-css-tailwind-v2-2,css-tailwind,CSS,success,12601.2977,hot reload
post,post-css-tailwind-v2-3,css-tailwind,CSS,success,12783.2274,hot reload
sandbox,sandbox-razor-heading-1,razor-heading,Razor,success,13587.7494,hot reload
sandbox,sandbox-razor-heading-2,razor-heading,Razor,success,16993.0749,hot reload
sandbox,sandbox-razor-heading-3,razor-heading,Razor,success,14644.4093,hot reload
sandbox,sandbox-razor-empty-1,razor-empty,Razor,success,15878.0482,hot reload
sandbox,sandbox-razor-empty-2,razor-empty,Razor,success,11303.1433,hot reload
sandbox,sandbox-razor-empty-3,razor-empty,Razor,success,12416.7028,hot reload
sandbox,sandbox-razor-action-1,razor-action,Razor,success,18470.8302,hot reload
sandbox,sandbox-razor-action-2,razor-action,Razor,success,11058.5549,hot reload
sandbox,sandbox-razor-action-3,razor-action,Razor,success,11408.2631,hot reload
sandbox,sandbox-csharp-summary-1,csharp-summary,CSharp,success,12370.8029,hot reload
sandbox,sandbox-csharp-summary-2,csharp-summary,CSharp,success,17323.7237,hot reload
sandbox,sandbox-csharp-summary-3,csharp-summary,CSharp,success,10991.6387,hot reload
sandbox,sandbox-csharp-metadata-1,csharp-metadata,CSharp,success,32643.4659,hot reload
sandbox,sandbox-csharp-metadata-2,csharp-metadata,CSharp,success,10754.4637,hot reload
sandbox,sandbox-csharp-metadata-3,csharp-metadata,CSharp,success,12267.7554,hot reload
sandbox,sandbox-csharp-team-title-1,csharp-team-title,CSharp,success,12455.0321,hot reload
sandbox,sandbox-csharp-team-title-2,csharp-team-title,CSharp,success,11587.2814,hot reload
sandbox,sandbox-csharp-team-title-3,csharp-team-title,CSharp,success,10950.4214,hot reload
sandbox,sandbox-css-toolbar-v2-1,css-toolbar,CSS,success,13340.4663,hot reload
sandbox,sandbox-css-toolbar-v2-2,css-toolbar,CSS,success,11381.7544,hot reload
sandbox,sandbox-css-toolbar-v2-3,css-toolbar,CSS,success,11408.971,hot reload
sandbox,sandbox-css-spacing-v2-1,css-spacing,CSS,success,11908.6485,hot reload
sandbox,sandbox-css-spacing-v2-2,css-spacing,CSS,success,11347.8846,hot reload
sandbox,sandbox-css-spacing-v2-3,css-spacing,CSS,success,12199.9157,hot reload
sandbox,sandbox-css-tailwind-v2-1,css-tailwind,CSS,success,11358.1581,hot reload
sandbox,sandbox-css-tailwind-v2-2,css-tailwind,CSS,success,11099.7549,hot reload
sandbox,sandbox-css-tailwind-v2-3,css-tailwind,CSS,success,10881.0342,hot reload
