trialId,host,editId,category,observedEditToVisibleMs,sdkApplyMs,eventCount
sandbox-razor-heading-1,sandbox,razor-heading,Razor,13587.7494,2392,1
sandbox-razor-heading-2,sandbox,razor-heading,Razor,16993.0749,406,1
sandbox-razor-heading-3,sandbox,razor-heading,Razor,14644.4093,162,1
sandbox-razor-empty-1,sandbox,razor-empty,Razor,15878.0482,170,1
sandbox-razor-empty-2,sandbox,razor-empty,Razor,11303.1433,159,1
sandbox-razor-empty-3,sandbox,razor-empty,Razor,12416.7028,151,1
sandbox-razor-action-1,sandbox,razor-action,Razor,18470.8302,169,1
sandbox-razor-action-2,sandbox,razor-action,Razor,11058.5549,180,1
sandbox-razor-action-3,sandbox,razor-action,Razor,11408.2631,165,1
sandbox-csharp-summary-1,sandbox,csharp-summary,CSharp,12370.8029,129,1
sandbox-csharp-summary-2,sandbox,csharp-summary,CSharp,17323.7237,31,1
sandbox-csharp-summary-3,sandbox,csharp-summary,CSharp,10991.6387,35,1
sandbox-csharp-metadata-1,sandbox,csharp-metadata,CSharp,32643.4659,24,1
sandbox-csharp-metadata-2,sandbox,csharp-metadata,CSharp,10754.4637,41,1
sandbox-csharp-metadata-3,sandbox,csharp-metadata,CSharp,12267.7554,36,1
sandbox-csharp-team-title-1,sandbox,csharp-team-title,CSharp,12455.0321,63,1
sandbox-csharp-team-title-2,sandbox,csharp-team-title,CSharp,11587.2814,45,1
sandbox-csharp-team-title-3,sandbox,csharp-team-title,CSharp,10950.4214,38,1
sandbox-css-toolbar-v2-1,sandbox,css-toolbar,CSS,13340.4663,960,1
sandbox-css-toolbar-v2-2,sandbox,css-toolbar,CSS,11381.7544,557,1
sandbox-css-toolbar-v2-3,sandbox,css-toolbar,CSS,11408.971,546,1
sandbox-css-spacing-v2-1,sandbox,css-spacing,CSS,11908.6485,544,1
sandbox-css-spacing-v2-2,sandbox,css-spacing,CSS,11347.8846,543,1
sandbox-css-spacing-v2-3,sandbox,css-spacing,CSS,12199.9157,558,1
sandbox-css-tailwind-v2-1,sandbox,css-tailwind,CSS,11358.1581,0,1
sandbox-css-tailwind-v2-2,sandbox,css-tailwind,CSS,11099.7549,0,1
sandbox-css-tailwind-v2-3,sandbox,css-tailwind,CSS,10881.0342,0,1
