Command: generate SHA-256 before/after manifest for changed tracked files and new bundle proof artifacts
WorkingDirectory: C:\repositories\CanDoItAll
Columns: Status | BeforeSha256 | AfterSha256 | Path
A | <new> | 21027a84a40d5b6aefffc7852134294803fd4e8c1fe91b63d655fd2e450ef76f | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB03/transcripts/residue-and-switch-audit.txt
M | e6804f220e94e4fed4b8c2f0a71e4717c51605564620e9bbbc2ecf6e4b97bd02 | e4838bb68cf786cfb4fe7ecd92d3ae8d5c33d576dcdb5e80f020e373ab3b91d8 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB04/manifest.md
M | e506cb5eb2bddb314e6582316589c609374ceb9bcd401d29b9883ee1715ac7dc | a5a096d11a173efc357b4dcd502c09b81177f9c86a667b2d83b09be6f6d7c43b | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB04/semantic-invariants.md
A | <new> | 54a97cec5226109d9595e1e6e127536fdf7c37981967e0f13dd3b2bd5b6190ea | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB04/transcripts/profile-context-source-audit.txt
M | f74f695d3e4cf8c0131767ca35825af6ab3bd7cfa4f891117eea4ecdc4504734 | bd2122fd9671360641e31fccdaa4cca1b7831626cbe648c126a9dd29974ff40a | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB05/manifest.md
M | c38dc4714f19f6f0ab1a5586a98fe1385ef3836d708a4c7e22f9b7c801b151ef | fef9856c24b46a4555c5f9d11b9c7e3a12fca4ccd5495167588b30326e36f6f7 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB05/semantic-invariants.md
A | <new> | 49d3d7209b193cca5b2f97b0b536aaac66c85f1c7e2e2224f5928cbdee0f5463 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB05/transcripts/bounded-parallelism-source-audit.txt
M | 14db6856768bd259f42cf60835cc55f84dd8f09d6470b9aa26991a4073930248 | 5db0e448a907acd328f893ed54cfd7bba827bae5e1a0e6fa67e723f33be567d4 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB06/manifest.md
M | ce691bf9b9c703b01657c502f2cdba9fa451a0b23f8810593db8806ce611e559 | b289e95dcdcc61c1b34b16dfa5d1fcf7ee49c64b07f52d4eddb5c01be875dbff | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB06/semantic-invariants.md
A | <new> | a9c33ad93fea40fbe15161e150bb69ea3e24394d19e251ebd172abc523819bb2 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB06/transcripts/dispatch-claim-source-audit.txt
M | f445f0fa7d2630028c705214393bb7b917c054db79ec3b93e79368a14cb34490 | d1127ac7b129c1d998525357e716ce9ae26e48bf53bc6fd39670bd675aae1357 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB07/manifest.md
M | 41fea076c98fea62aa3fc88f40424082fd4215e3bd3dd7cf062621774a7514d7 | 18986397f3c03bdab421ec4028c3fc37c20aa36e08d61449b3cdedececc3873b | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB07/semantic-invariants.md
A | <new> | cc59e76fb0fc7d5b3d296cbf714400692302bc3a68e04225e5b15b5bff37e7dc | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB07/transcripts/claim-first-source-audit.txt
A | <new> | 9c4466e5a381b24f6dc252f155d6f87c7c08c46c7c6e331213bfc7855863c4a2 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB07/transcripts/process-dispatch-telemetry-build.txt
A | <new> | ad2b498607d16c26e534bce9375d4ba1e149fe51921907a97f21116ac198e08d | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB08/benchmark-report.md
A | <new> | aa2dbff0b902cd828304230bb329370477565d7c65ef3ad9df9e1fc5ff4c93f2 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB08/final-execution-report.md
M | d32d901cd28f20539f6939f6b3ea3e66b8926cebe0d5e91d24a844153f8d4220 | d7d049d013668d259fa8f25e637800af6b4a98d9c4749bb641fae7f4dda0e8a2 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB08/manifest.md
M | f2b2fbe0767ac606f471430b743df6ecd8416b55bf45312ab36269e7ee59f270 | ca9d3fdf7cf2dcba8ada52566dd0c97bc887750f3bdc7cf074b66d0d2f7438a8 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB08/semantic-invariants.md
A | <new> | 6687df1147a3711efac472df28716bbccd48cc73f8b0923d092ef4af56614a74 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB08/transcripts/anti-stub-audit.txt
A | <new> | 47091dafb7a30d88c67d85a6efdb2ea7e1fc7ba1f7f184c587c5701b81fad12a | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB08/transcripts/bundle-validator-completed.txt
A | <new> | e783de9e76b5a4b753e7fa306019c13d98b6eb9131e3654e801a29efec2e9a1d | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB08/transcripts/component-tests.txt
A | <new> | 268b48322b3d8f6abc078b2fc02575b1515289f6660bddf19d39d99820df4c2f | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB08/transcripts/composition-build-warning-check.txt
A | <new> | 39a2232e451b3f63abbbb540ffd99cf9d2b48c8ec518bfe5c6e39e5370aad976 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB08/transcripts/dotnet-restore.txt
A | <new> | 046810013b6640232af80412de8fbbdd8368c9f153671afa811253f54ebf4757 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB08/transcripts/ef-pending-model-changes.txt
A | <new> | f591aff07c27a46662f3ce269d897dcb074495f3b5b470845ff655939d9afcc3 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB08/transcripts/focused-component-tests.txt
A | <new> | 4da82c3083e7d35245687b1423020529dd964f80f3bcf3a3ee149677ca05730d | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB08/transcripts/focused-integration-tests.txt
A | <new> | 24c66d67baf12472ddc3f043430aa3da3af705a14bcd96fa7b4d9516a3c3a689 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB08/transcripts/full-component-tests-rerun.txt
A | <new> | d257db4d208a86e5cf498de8d55bd60d429c1cc23470f0f83f669b7cbbe8d416 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB08/transcripts/full-integration-tests.txt
A | <new> | db0ffd57b8131d7cc61eb71a3f6aa7afedfb55dcfee0066bb96415a63cca650f | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB08/transcripts/full-solution-build-final-after-telemetry.txt
A | <new> | 3553263178cafd69cbcf116e710eea64249f57e327913c312f0aeeb7d76d5ba2 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB08/transcripts/full-solution-build-final-clean.txt
A | <new> | 8fa658066a8cd1fa1ca4d79c16820f79e75bdb356bd582d65c7c2f47023aabd2 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB08/transcripts/full-solution-build-final-rerun.txt
A | <new> | c2bbc850c1e74e0357910ced524a0b8e84cdff81a603fe915140a921fd5835e0 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB08/transcripts/full-solution-build-final.txt
A | <new> | d61a419969e469d1f086938b4c503d13094b3ad157eff1e8e2e18c2adbefb6d0 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB08/transcripts/full-solution-build-rerun.txt
A | <new> | 2884f7a378aaed405e13b43f77789dd828d179761574131400d69387abb78d95 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB08/transcripts/full-solution-build.txt
A | <new> | b0d722deed4280ad67bd80035cb3be1beb5e903fec7ad1800d8a15a56f208d1a | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB08/transcripts/full-unit-tests.txt
A | <new> | a4bf02912730825e655460510bcfafaaaf662e9fa5aee92d23c53659c24bdf9d | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB08/transcripts/changed-file-hashes.txt
A | <new> | 8c76823c02d263f61a29df9706cc8eaedea928789cd014f344f69356c8d9471d | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB08/transcripts/main-layout-component-tests-rerun.txt
A | <new> | 2dc24075ef1d2d3710dcd70ac1ef27bb985885ebdaa1f0c4d1e0031c379b3ffd | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB08/transcripts/main-layout-component-tests.txt
A | <new> | 0dd67ca46912b2cc1cadf14fb141ad9db19236b4f3e10c48192e2c2954e6eb3e | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB08/transcripts/semantic-invariant-index.txt
A | <new> | ca91aaced22a1cd9ecc409bcae8912158044ac2e442ca9827d6183fdb5ca2d71 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB08/transcripts/web-build-warning-check.txt
M | d558ca1a7234ae3e11fe466a86f248bb8a2df05df969650359d8fde82965fea1 | 74c2dc809abe104d9c1c68ba06d20f2ffafa00a496857db114f769e257f26c10 | codex/bundles/db-postgres-canonicality-and-throughput/README.md
A | <new> | 94ea51a2943f92207f9b987a4a0fe7c47a309cbde6959c591fbe3419f0d28c2f | codex/bundles/db-postgres-canonicality-and-throughput/reviews/01-execution-report.md
M | 23d30524dee1dcdab134447a8b8808a44da7231696be7b04ce2e8360a6fed485 | 4e576176ea81a5790fd0ffdc946dabf449301e7442e86169fa243e66cf4d6f9f | codex/bundles/db-postgres-canonicality-and-throughput/scripts/audit_residue_and_bottlenecks.ps1
M | 154382709eb3adaa7cfa6e2d4cc49ab13834c6a51edea43a83283d6d12a670cd | 8b0025b7605e560901d318e2e9fb0a4b33a6bbdad06d478f3ff7b24df5f440c2 | codex/bundles/db-postgres-canonicality-and-throughput/subbundles/SB01-validation-evidence-and-scope-cleanup/README.md
M | df95a43313e14c9c1bbfa40a27bc8369817e88af5744e5b54393aa0ea07ffc8f | 42f007083486fe80b5b7c4e31f541112f8f6c882c1f3f87f50806c15036850ce | codex/bundles/db-postgres-canonicality-and-throughput/subbundles/SB02-canonical-runtime-vs-pending-activation-contract/README.md
M | 986dee3f70cb4822575a49227b07d7b18df93b79aeefeff8175fc10d3190505a | 91e7bf9f16690edccbbbb557f3914864ab0d020c5526dd206ff7a9cd068a24f5 | codex/bundles/db-postgres-canonicality-and-throughput/subbundles/SB03-remove-dead-hot-switching-and-drain-state/README.md
M | 65d9de68b4a2b07d2e17f340f4d43686ad3b0b651954a273b32d9998c548a925 | e562511a77036efeac9c9749ec6c52fb8bc9cab9772d74ec82b50009888c7026 | codex/bundles/db-postgres-canonicality-and-throughput/subbundles/SB04-maintenance-profile-context-factory-boundaries/README.md
M | eb4d3d946bb250d383c6efc8d5eb788e129aa1a04d2ac4518ac4f1f0ceea5244 | 5dcf2148f3246f3883d0248034399fae2ea8a4cac803c28dccb850ef54358aeb | codex/bundles/db-postgres-canonicality-and-throughput/subbundles/SB05-postgresql-claimed-work-parallel-processing/README.md
M | f5f8c16e11ef138e44b45be6380fc05169e56ac63794e00893889699edaec74b | 756c4bc8b01fdd08b8dd5439026441b357ddf76429f961888db2139f38f8bb92 | codex/bundles/db-postgres-canonicality-and-throughput/subbundles/SB06-process-dispatch-claim-token-canonicality/README.md
M | 749cc9ee03a905df585bc9c45c96b501fc10e0edcb70882cc413900e6ec794c5 | 78944e7882a3e773bd2dc5cb23d37ae3971f589d5033d80389e60bdd4a3918f0 | codex/bundles/db-postgres-canonicality-and-throughput/subbundles/SB07-claim-first-dispatch-candidate-loading/README.md
M | 760f71331cf085b53042ab0684dba0d3e4cef8f6eff5e1f65666361f12224658 | 69e1c03b05db59bf5d7a939749fadb3df82f702f1084e140c34fdfe782e2cfba | codex/bundles/db-postgres-canonicality-and-throughput/subbundles/SB08-final-validation-benchmark-and-merge-gate/README.md
M | b00f5cb27ffa3a2b22ae71f34ecdc88a98277bbe5436e51d0ff936e894c6f9ad | 24484fa00cc8621a6d91e3075da216c547a373e9dee9c0a43c0b96e3e869889e | src/CanDoItAll.Composition/RuntimeHostServiceCollectionExtensions.cs
M | 755da5244ec45e1a8bf384aac075ef8a3482c7d6672318d6454e9bbcab03ecde | d94c9b3b020300095e1bb019b3cad233b472162488636c0b9e0a1a969246fb5a | src/CanDoItAll.Infrastructure/Configuration/AppOptions.cs
M | 5cdf81c7219d545f7a933ca76491fb6c47c4b325af9ed02c024a23321472c752 | f160b3b4288dbb38aef3ce882d0560edc9279613745fd3c01d249043f510e20f | src/CanDoItAll.Infrastructure/ControlPlane/DatabaseProfileControlPlaneService.cs
M | 400eaa6ea5ea3fe7c2f489038aaaed8bfcd83f89288efe49f99f6f813c251c04 | d11651da24efc1654f6de9bf96392d81d5c81dcb68d4203373324e4f2e46f11b | src/CanDoItAll.Infrastructure/ControlPlane/DatabaseProfileModels.cs
M | a2ccd2d70ef1e714b6e4e72c2917e52ea0ca430c04f29cdcd2163695be09820e | 34bbaba2547c7f5a3d474d34661b08aacded31e7ebc246b12272715d81544e64 | src/CanDoItAll.Infrastructure/ControlPlane/DatabaseSwitchingAbstractions.cs
M | 2417302083c64b92e365a96d8beb211cddb15c8f1b2687b81a291b63fcb3474b | 339c26fee4bde1c9c1ab9c0dcfd0ca54dfb4a457592395c023e7c6b3e0c3b8ec | src/CanDoItAll.Infrastructure/ControlPlane/DatabaseTransferService.cs
M | 3288e43236b804ac47a50134cc7338d6d50431cee90618a51ab9c72d3e7b867c | 6ad79faf3dd23fb37277ab4f09a0f567d16b11c7071608bc255a3bc8f7228ea0 | src/CanDoItAll.Infrastructure/DependencyInjection/InfrastructureServiceCollectionExtensions.cs
M | b62459bfa52c97d37996cd50665e1e7d960a4d47c2c92ba6746f5a5b13039756 | 59bfd5d73ace8df396d5f5ea3e5163946fb85fcd652ba18cce90d8470aaf64ca | src/CanDoItAll.Infrastructure/Persistence/DatabaseRuntimeSwitching.cs
M | c8a76e2731aa6d0a57f402d965a07bf71b277357b04a35f02c5573c35e524d16 | 6e81f57d26fc5546e85ee1c3da266e86d48095e92bc698341b1197a524093e6d | src/CanDoItAll.Infrastructure/Persistence/SwitchableAppDbContextFactory.cs
M | 8365d4a671fe1fdab406aca13b1d197101716e7fac344118052dec8af6a591ed | 3bfe6567128c89f07639703ce90414bf2095b3b236092b6cebdf83e5190537a3 | src/CanDoItAll.Modules.Automation/Runtime/AutomationRuntimeOptions.cs
M | 1a41ab13ca886e83765daef622d604fc382864563fe34fde5e10d332cc628bf3 | 8317e3f0bdec79aba31baac45cbf24fdfd41ee442644ce1d047070f3bc56cafa | src/CanDoItAll.Modules.Automation/Services/AutomationHostedServices.cs
M | 6e5909f825705f75fb5f4839527add3a92b4e973c18e2dabae701a5148c42132 | 792d06ef15c82accc1ac4e75fa6cc4076403aa54f6b762a4f2088835ced86d4e | src/CanDoItAll.Modules.Automation/Services/AutomationMessagingServices.cs
M | f92356867a75528828ca80d27ad4c459c937dc0e81554b0b3d07faac8fab7bb2 | a8e493bfa818087b85c83a89eab401565e626fd21811db0af76b15380db3d852 | src/CanDoItAll.Modules.Processes/Automation/Dispatch/ProcessRunAutomationDispatchService.ArtifactProjection.cs
M | 564bd9cf96ee9c304b0e9e6f2c86a066d701f8090b994e0ea7c6f5765b249edd | ba9bbaa67c3f8d260cf4cd07fa630eabd3b4440d66cdb805155e77888dbf9465 | src/CanDoItAll.Modules.Processes/Automation/Dispatch/ProcessRunAutomationDispatchService.CompletionArtifactRecovery.cs
M | 334049908327c2fefbf3bbbaa2d6fa0e1d5628bea3c4917ff1756760ff136cd7 | b576c58b86ffefc76cc6b4eb8ab0bb5d583e77ff5c0e709e99a6e78f6d0bcdba | src/CanDoItAll.Modules.Processes/Automation/Dispatch/ProcessRunAutomationDispatchService.Dispatch.cs
M | 67437e0012399028049af98a2627d099e3c921d8d95b99f108decba938c0492d | c7dcc9b9bbdc68ea2e158528f9d0fe33c8deda8986a07f8deff3cce4f4b2d5fd | src/CanDoItAll.Modules.Processes/Runtime/ProcessOutbox.cs
M | 62958544f4fbfbec37c4dbfac1896333d9c62f8f8497f59088b6ecdc3632cfd7 | dd13b8c651013d4cd36988a9184e7f01cbd2025c381d029ebe73cf5a811606fe | src/CanDoItAll.Modules.Processes/Runtime/ProcessRuntimeOptions.cs
M | 881182ca58d99e00cf801730de5aef2b23c4dec7019fedfe078cd6413ec2863d | 1c54f629c39bee5e991d737b89155059f4023419dcae06ee5f1941e7fe3b9c3f | src/CanDoItAll.Modules.Workbench/DatabaseTransfer/ProjectPackageService.cs
M | 66ba94d39b79e83976caa0f68765f714546f9896237b44593018d55c231dc92b | 758d801bbcc9e108e9f58af58ed06910ec138e9144569767a0ef867ef227d580 | src/CanDoItAll.Modules.Workspace/Connectors/ConnectorOutboxService.cs
M | 7b066a9543a587227fda76c20a2d090258ec8adc29d678f060cec36837f336e0 | 5e5e21ee33f675f8e526c2cc787fd3f1b16aa3a583561772dbe208df4835ca7b | src/CanDoItAll.Modules.Workspace/Database/DatabaseProfileWorkspaceService.cs
M | 790c2cd4de2eaf41514fdc2343a07f995f6e313e41ca4803abd84de14f0e8415 | a71d779966122b5043b9e0260381639191de0b0a4b6c8d14aa956f54cd213711 | src/CanDoItAll.Modules.Workspace/Pages/Components/DatabaseSourcesSettingsPanel.razor
M | 00e97ff7247863976c93b0623b3d2088055c9b41cec7069888af05c31bdc48a0 | 81d7e2dec70c270fcea62a3bcbd5a1e02fdadec8b57acb498a1cb126c5c22f0c | src/CanDoItAll.Web/Api/CognitiveMemoryApi.DatabaseEndpoints.cs
M | b5ceb1a07fffb915f2fec6178e34c9d06d05850a35a5a35b61bc8fe5e4d77c51 | 8a8185ce8aed78ea77a7a06a7733701900aa8c602349ffb393599ab1443fea54 | src/CanDoItAll.Web/Api/CognitiveMemoryApiDtos.cs
M | 6af59e229140e11728b3b467a09979bc991d494cb98097adaaa97bb24df369c6 | 2a7ad5310e23c32cbba7b695f9eb4383f5cd15e32eb62fb2c09ef94ef7a7daf3 | src/CanDoItAll.Web/Components/Layout/MainLayout.DatabaseProfiles.cs
M | a1f489c5cd6776dfa8381022e204017ba0252768625841bd9813c94fa777214a | 853bd55e7c08f8e27c6bf1c6a433447ae51ffe328b2463a8b5ebb2760c528d95 | src/CanDoItAll.Web/Components/Layout/MainLayout.razor
M | 544751fbe96e7d8ccc7232db792876ac0e192ec2954a9defa08a8406cd932734 | f04264e70196eec2cdd5236d30465e1fb90a65ac9b332fbdba688e8cc0238939 | src/CanDoItAll.Web/Components/Layout/MainLayout.State.cs
M | 5b54b7ce17758ac8d98ee56b1a1598128e949e03a9b6926fde1466fef6459376 | f67038d1d567395ea14bca8e17daa176281e301a0c0940d35e3ab72cd9707344 | src/CanDoItAll.Web/Components/Layout/MainLayoutDatabaseDialog.razor
M | 552ed2a0f3c210aa297fa0526537c6c65ec57ce2a5ddb86f198c106384ddeb81 | f7063a0af5b72000246a82af9797b35b4cd4600ffa0d90174d5caa81681bbb81 | src/CanDoItAll.Web/Program.cs
M | a4708b77c47ced829c92fb6ec7d3ed39de90e3bda55b3255d47d87f76328e997 | 22b31723426dcefe4f33589fda20968db878ed1b082be00a98f021466405fe27 | tests/CanDoItAll.Tests.Components/MainLayoutDatabaseProfileTests.cs
M | 544bed3d2a76bdaaa3e436c099eeda460ba29f88f834ac0ed5e3b89624c330cf | 46b61f3bdadb8c04e9d0b0402cf435a2dfe301d0271126ee827c9311b8be0dcb | tests/CanDoItAll.Tests.Components/ProcessCanvasSelectionPanelTests.cs
M | 8901743b2aa15519017375114640e1b1c208ed06d8f932147c911676841f328e | c3f9a0a6d0bc5d9812911fbc1fe59fae45849bd5bb49a2c9d370a85e4d056170 | tests/CanDoItAll.Tests.Components/SettingsPageDataSourcesTests.cs
M | f96c4f929b80afa18665107ab4b7af33174bea63c2b7c3680ddd3be1247c0ce4 | d6add373d0641ff78bbd06d2eb2e2b837e813d6d4485ef328a2f4f5394ed063f | tests/CanDoItAll.Tests.Integration/DatabaseRuntimeSwitchingIntegrationTests.cs
M | 500a5c9d34708536977de3b28850e05f951c2e1b008dd7b2068572c68cae9a46 | 55d351fc632363cd556f4d968c29862391d6f472b4bbc07f7610883f090c8e57 | tests/CanDoItAll.Tests.Integration/ManagedFilesStorageIntegrationTests.cs
M | 7f4773a360d26f27a7f17276872927c468b02505d4be0bebe33e0949a9c45e0b | 796faa2780138daa023db3ae48c0db8dbbe3dd2034607df8d06f9c3437f6350c | tests/CanDoItAll.Tests.Playwright/DatabaseSwitchWorkbenchPlaywrightTests.cs
M | 5d5f0a9bcf356f3981e02f9e564ba2fb8c104d932458b285dd2b6be44ef86cb1 | 9c3be5f8c20c0c2c66f450a69ac3e33a6e56e4517cc39b36d9ecbf887b1b81f4 | tests/CanDoItAll.Tests.Unit/DatabaseRuntimeSwitchingTests.cs
FileCount: 105
ExitCode: 0
