Token,Occurrences,Token Kind,Sample Sources,Proposed Material Icon,Needs Alias In Catalog,Migration Status,Notes
bars_staggered,1,named token,src/CanDoItAll.Components.Sandbox/Components/Pages/Navigation.razor:32,view_headline,Yes,Completed,Resolved through MaterialIconCatalog alias.
calendar,1,named token,src/CanDoItAll.Components.Sandbox/Components/Pages/Navigation.razor:35,calendar_month,Yes,Completed,Resolved through MaterialIconCatalog alias.
circle_info,1,named token,src/CanDoItAll.Components.Sandbox/Components/Pages/Navigation.razor:38,info,Yes,Completed,Resolved through MaterialIconCatalog alias.
delete,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:27,delete,No,Completed,Direct Material icon token.
deliver,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:70,local_shipping,Yes,Completed,Resolved through MaterialIconCatalog alias.
draw,1,named token,src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.NodeEditing.cs:242,draw,No,Completed,Direct Material icon token.
expand,1,named token,src/CanDoItAll.Components.CanvasLib/Components/Core/CanvasFloatingWindow.razor:28,open_in_full,Yes,Completed,Resolved through MaterialIconCatalog alias.
expand_more,1,named token,src/CanDoItAll.Modules.Workbench/Pages/ProjectStructureSelectionPanel.razor:326,expand_more,No,Completed,Direct Material icon token.
feature,1,named token,src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs:409,star,Yes,Completed,Resolved through MaterialIconCatalog alias.
file,1,named token,src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs:444,insert_drive_file,Yes,Completed,Resolved through MaterialIconCatalog alias.
frame,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:103,crop_square,Yes,Completed,Resolved through MaterialIconCatalog alias.
marker,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:348,bookmark,Yes,Completed,Resolved through MaterialIconCatalog alias.
marker-alert,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:355,warning,Yes,Completed,Resolved through MaterialIconCatalog alias.
marker-car,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:361,directions_car,Yes,Completed,Resolved through MaterialIconCatalog alias.
marker-idea,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:362,lightbulb,Yes,Completed,Resolved through MaterialIconCatalog alias.
marker-money,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:360,payments,Yes,Completed,Resolved through MaterialIconCatalog alias.
marker-none,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:353,bookmark_border,Yes,Completed,Resolved through MaterialIconCatalog alias.
marker-pause,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:358,pause_circle,Yes,Completed,Resolved through MaterialIconCatalog alias.
marker-question,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:354,help,Yes,Completed,Resolved through MaterialIconCatalog alias.
marker-risk,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:363,report_problem,Yes,Completed,Resolved through MaterialIconCatalog alias.
marker-stop,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:359,stop_circle,Yes,Completed,Resolved through MaterialIconCatalog alias.
marker-thumbs-down,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:357,thumb_down,Yes,Completed,Resolved through MaterialIconCatalog alias.
marker-thumbs-up,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:356,thumb_up,Yes,Completed,Resolved through MaterialIconCatalog alias.
minimize,1,named token,src/CanDoItAll.Components.CanvasLib/Components/Core/CanvasFloatingWindow.razor:64,minimize,No,Completed,Direct Material icon token.
priority,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:374,priority_high,Yes,Completed,Resolved through MaterialIconCatalog alias.
priority-0,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:379,remove_circle_outline,Yes,Completed,Resolved through MaterialIconCatalog alias.
priority-1,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:380,looks_one,Yes,Completed,Resolved through MaterialIconCatalog alias.
priority-2,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:381,looks_two,Yes,Completed,Resolved through MaterialIconCatalog alias.
priority-3,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:382,looks_3,Yes,Completed,Resolved through MaterialIconCatalog alias.
priority-4,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:383,looks_4,Yes,Completed,Resolved through MaterialIconCatalog alias.
priority-5,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:384,looks_5,Yes,Completed,Resolved through MaterialIconCatalog alias.
priority-6,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:385,looks_6,Yes,Completed,Resolved through MaterialIconCatalog alias.
progress,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:281,trending_up,Yes,Completed,Resolved through MaterialIconCatalog alias.
progress-0,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:297,radio_button_unchecked,Yes,Completed,Resolved through MaterialIconCatalog alias.
progress-na,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:333,remove_circle_outline,Yes,Completed,Resolved through MaterialIconCatalog alias.
progress-started,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:307,play_arrow,Yes,Completed,Resolved through MaterialIconCatalog alias.
redo_arrow,1,raw glyph or text icon,src/CanDoItAll.Modules.Factory/Pages/Components/PromptFactoryHistoryToolbar.razor:19,redo_arrow,No,Completed,Direct Material icon token.
restart_alt,1,named token,src/CanDoItAll.Components.CanvasLib/Components/Core/CanvasFloatingWindow.razor:72,restart_alt,No,Completed,Direct Material icon token.
settings,1,named token,src/CanDoItAll.Components.CanvasLib/Components/Workbench/CanvasWorkbench.razor:87,settings,No,Completed,Direct Material icon token.
single_left_angle,1,raw glyph or text icon,src/CanDoItAll.Components/Components/AppTabStrip.razor:201,single_left_angle,No,Completed,Direct Material icon token.
single_right_angle,1,raw glyph or text icon,src/CanDoItAll.Components/Components/AppTabStrip.razor:202,single_right_angle,No,Completed,Direct Material icon token.
support,1,named token,src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs:256,support_agent,Yes,Completed,Resolved through MaterialIconCatalog alias.
task,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:69,task,No,Completed,Direct Material icon token.
test,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:26,science,Yes,Completed,Resolved through MaterialIconCatalog alias.
times,1,raw glyph or text icon,src/CanDoItAll.Components.BaseLib/Components/Forms/TagEditor.razor:14,times,No,Completed,Direct Material icon token.
transcript,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:51,closed_caption,Yes,Completed,Resolved through MaterialIconCatalog alias.
undo_arrow,1,raw glyph or text icon,src/CanDoItAll.Modules.Factory/Pages/Components/PromptFactoryHistoryToolbar.razor:9,undo_arrow,No,Completed,Direct Material icon token.
unlink,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:21,link_off,Yes,Completed,Resolved through MaterialIconCatalog alias.
