Inventory Id,Category,Project,Relative Path,Absolute Path,Line,Current Match,Current Token,Token Kind,Current State,Decision,Proposed Material Icon,Migration Status,Owner Subbundle,Validation Notes
ICON-038,fontawesome-renderer,CanDoItAll.Components,src/CanDoItAll.Components/Components/Button.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Button.razor,3,var iconCssClass = ResolveIconCssClass(Icon);,,none,Renderer or helper still targets Font Awesome CSS classes.,Mapped,Material icon component,Completed,02 Local Material Icons foundation and shared renderer conversion,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-039,fontawesome-renderer,CanDoItAll.Components,src/CanDoItAll.Components/Components/Button.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Button.razor,17,"<i class=""@($""rz-fa-icon {iconCssClass}"")"" aria-hidden=""true""></i>",,none,Renderer or helper still targets Font Awesome CSS classes.,Mapped,Material icon component,Completed,02 Local Material Icons foundation and shared renderer conversion,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-040,fontawesome-renderer,CanDoItAll.Components,src/CanDoItAll.Components/Components/Button.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Button.razor,74,private static string? ResolveIconCssClass(string? iconToken),,none,Renderer or helper still targets Font Awesome CSS classes.,Mapped,Material icon component,Completed,02 Local Material Icons foundation and shared renderer conversion,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-041,fontawesome-renderer,CanDoItAll.Components,src/CanDoItAll.Components/Components/Button.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Button.razor,76,"if (FontAwesomeIconCatalog.TryResolveCssClass(iconToken, out var cssClass))",,none,Renderer or helper still targets Font Awesome CSS classes.,Mapped,Material icon component,Completed,02 Local Material Icons foundation and shared renderer conversion,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-042,fontawesome-renderer,CanDoItAll.Components,src/CanDoItAll.Components/Components/FontAwesomeIconCatalog.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\FontAwesomeIconCatalog.cs,3,internal static class FontAwesomeIconCatalog,,none,Renderer or helper still targets Font Awesome CSS classes.,Mapped,Material icon component,Completed,02 Local Material Icons foundation and shared renderer conversion,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-043,fontawesome-renderer,CanDoItAll.Components,src/CanDoItAll.Components/Components/Icon.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Icon.razor,4,var iconCssClass = ResolveIconCssClass(Name);,,none,Renderer or helper still targets Font Awesome CSS classes.,Mapped,Material icon component,Completed,02 Local Material Icons foundation and shared renderer conversion,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-044,fontawesome-renderer,CanDoItAll.Components,src/CanDoItAll.Components/Components/Icon.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Icon.razor,7,"<i @attributes='AdditionalAttributes.WithClass($""rz-icon rz-fa-icon {iconCssClass}"")' aria-hidden=""true""></i>",,none,Renderer or helper still targets Font Awesome CSS classes.,Mapped,Material icon component,Completed,02 Local Material Icons foundation and shared renderer conversion,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-045,fontawesome-renderer,CanDoItAll.Components,src/CanDoItAll.Components/Components/Icon.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Icon.razor,22,private static string? ResolveIconCssClass(string? iconToken),,none,Renderer or helper still targets Font Awesome CSS classes.,Mapped,Material icon component,Completed,02 Local Material Icons foundation and shared renderer conversion,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-046,fontawesome-renderer,CanDoItAll.Components,src/CanDoItAll.Components/Components/Icon.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Icon.razor,24,"if (FontAwesomeIconCatalog.TryResolveCssClass(iconToken, out var cssClass))",,none,Renderer or helper still targets Font Awesome CSS classes.,Mapped,Material icon component,Completed,02 Local Material Icons foundation and shared renderer conversion,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-047,fontawesome-renderer,CanDoItAll.Components,src/CanDoItAll.Components/Components/Steps.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Steps.razor,22,var iconCssClass = ResolveIconCssClass(item.Icon);,,none,Renderer or helper still targets Font Awesome CSS classes.,Mapped,Material icon component,Completed,02 Local Material Icons foundation and shared renderer conversion,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-048,fontawesome-renderer,CanDoItAll.Components,src/CanDoItAll.Components/Components/Steps.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Steps.razor,32,"<i class=""@($""rz-fa-icon {iconCssClass}"")"" aria-hidden=""true""></i>",,none,Renderer or helper still targets Font Awesome CSS classes.,Mapped,Material icon component,Completed,02 Local Material Icons foundation and shared renderer conversion,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-049,raw-icon-markup,CanDoItAll.Components,src/CanDoItAll.Components/Components/Steps.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Steps.razor,36,"<span class=""rz-icon-fallback"" title=""@($""Unknown icon token: {item.Icon}"")"" aria-hidden=""true"">@item.Icon</span>",@item.Icon,dynamic expression,Literal glyph/text icon bypasses the shared icon abstraction.,Mapped,Material icon component,Completed,03 BaseLib and legacy shared-component icon migration,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-050,fontawesome-renderer,CanDoItAll.Components,src/CanDoItAll.Components/Components/Steps.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Steps.razor,153,private static string? ResolveIconCssClass(string? iconToken),,none,Renderer or helper still targets Font Awesome CSS classes.,Mapped,Material icon component,Completed,02 Local Material Icons foundation and shared renderer conversion,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-051,fontawesome-renderer,CanDoItAll.Components,src/CanDoItAll.Components/Components/Steps.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Steps.razor,155,"if (FontAwesomeIconCatalog.TryResolveCssClass(iconToken, out var cssClass))",,none,Renderer or helper still targets Font Awesome CSS classes.,Mapped,Material icon component,Completed,02 Local Material Icons foundation and shared renderer conversion,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-052,fontawesome-renderer,CanDoItAll.Components,src/CanDoItAll.Components/Components/Tabs.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Tabs.razor,26,var iconCssClass = ResolveIconCssClass(tab.Icon);,,none,Renderer or helper still targets Font Awesome CSS classes.,Mapped,Material icon component,Completed,02 Local Material Icons foundation and shared renderer conversion,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-053,fontawesome-renderer,CanDoItAll.Components,src/CanDoItAll.Components/Components/Tabs.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Tabs.razor,32,"<i class=""@($""rz-fa-icon {iconCssClass}"")"" aria-hidden=""true""></i>",,none,Renderer or helper still targets Font Awesome CSS classes.,Mapped,Material icon component,Completed,02 Local Material Icons foundation and shared renderer conversion,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-054,fontawesome-renderer,CanDoItAll.Components,src/CanDoItAll.Components/Components/Tabs.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Tabs.razor,120,private static string? ResolveIconCssClass(string? iconToken),,none,Renderer or helper still targets Font Awesome CSS classes.,Mapped,Material icon component,Completed,02 Local Material Icons foundation and shared renderer conversion,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-055,fontawesome-renderer,CanDoItAll.Components,src/CanDoItAll.Components/Components/Tabs.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\Tabs.razor,122,"if (FontAwesomeIconCatalog.TryResolveCssClass(iconToken, out var cssClass))",,none,Renderer or helper still targets Font Awesome CSS classes.,Mapped,Material icon component,Completed,02 Local Material Icons foundation and shared renderer conversion,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-056,fontawesome-renderer,CanDoItAll.Components.BaseLib,src/CanDoItAll.Components.BaseLib/Components/Buttons/Button.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Buttons\Button.razor,4,var iconCssClass = ResolveIconCssClass(Icon);,,none,Renderer or helper still targets Font Awesome CSS classes.,Mapped,Material icon component,Completed,02 Local Material Icons foundation and shared renderer conversion,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-057,fontawesome-renderer,CanDoItAll.Components.BaseLib,src/CanDoItAll.Components.BaseLib/Components/Buttons/Button.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Buttons\Button.razor,89,private static string? ResolveIconCssClass(string? iconToken),,none,Renderer or helper still targets Font Awesome CSS classes.,Mapped,Material icon component,Completed,02 Local Material Icons foundation and shared renderer conversion,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-058,fontawesome-renderer,CanDoItAll.Components.BaseLib,src/CanDoItAll.Components.BaseLib/Components/Buttons/Button.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Buttons\Button.razor,91,"if (FontAwesomeIconCatalog.TryResolveCssClass(iconToken, out var cssClass))",,none,Renderer or helper still targets Font Awesome CSS classes.,Mapped,Material icon component,Completed,02 Local Material Icons foundation and shared renderer conversion,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-059,fontawesome-renderer,CanDoItAll.Components.BaseLib,src/CanDoItAll.Components.BaseLib/Components/Buttons/Button.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Buttons\Button.razor,147,"builder.AddAttribute(sequence++, ""class"", $""rz-fa-icon {iconCssClass}"");",,none,Renderer or helper still targets Font Awesome CSS classes.,Mapped,Material icon component,Completed,02 Local Material Icons foundation and shared renderer conversion,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-060,"icon-component-usage, icon-token-assignment",CanDoItAll.Components.BaseLib,src/CanDoItAll.Components.BaseLib/Components/Cards/CardStatsWithNumber.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Cards\CardStatsWithNumber.razor,8,"<Icon Name=""@Icon"" />",@Icon,dynamic expression,Shared Icon component call site needs token review after foundation change.,Mapped,Material icon component,Completed,03 BaseLib and legacy shared-component icon migration,Shared Icon component now renders local Material Icons.
ICON-061,raw-icon-markup,CanDoItAll.Components.BaseLib,src/CanDoItAll.Components.BaseLib/Components/Forms/TagEditor.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Forms\TagEditor.razor,14,"<span class=""zy-tag-textedit__chip-x"" aria-hidden=""true"">&times;</span>",times,raw glyph or text icon,Literal glyph/text icon bypasses the shared icon abstraction.,Mapped,times,Completed,03 BaseLib and legacy shared-component icon migration,Code migration complete. dotnet build passes. Browser proof still pending.
