"Name","PreviouslyFailed","Message"
"CanDoItAll.Tests.Components.AgentFramework.AgentChatPanelResponsivenessTests.Send_releases_the_ui_event_while_the_post_run_workspace_refresh_is_pending","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogDeletionTests.Cancelling_delete_does_not_mutate_or_close_agent_details","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogDeletionTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests.Changing_workspace_profile_preserves_existing_external_root_binding(selectedProfile: Custom)","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentCatalogPanelTests.Catalog_delegates_new_chat_to_global_launcher_only_for_the_stable_hr_agent","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentCatalogPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogDeletionTests.Failed_delete_keeps_agent_details_open_and_usable","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogDeletionTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests.Removing_a_saved_external_root_removes_its_alias_and_binding_on_save","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentPanelSelectionFailClosedTests.Chat_panel_clears_a_valid_selection_when_the_requested_agent_becomes_missing","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogAvatarGenerationTests.Avatar_dialog_prefills_and_prepares_prompt_for_the_default_image_provider","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogAvatarGenerationTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogCapabilityTests.Capability_wizard_stages_new_agents_and_persists_existing_agents(existingAgent: True)","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogCapabilityTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests.External_call_approval_switch_updates_the_runtime_policy","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogCapabilityTests.Capabilities_tab_shows_tools_and_filters_the_shared_catalog","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogCapabilityTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentCatalogPanelTests.Catalog_marks_card_selection_as_handled_for_requested_dialog_echo","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentCatalogPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogCapabilityTests.Capability_wizard_stages_new_agents_and_persists_existing_agents(existingAgent: False)","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogCapabilityTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogDeletionTests.Delete_opens_confirmation_without_mutating_the_agent","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogDeletionTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogProjectStructureAccessTests.Enabling_all_projects_clears_an_existing_explicit_allowlist","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogProjectStructureAccessTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.WorkflowsPageTests.Workflows_template_add_to_drafts_uses_next_prefix_when_name_exists","True","Bunit.Extensions.WaitForHelpers.WaitForFailedException : The assertion did not pass within the timeout period.

If this test does not fail consistently, the reason may be that
the wait timeout is too short, and the runtime did not have enough
time to complete the necessary number of renders of the component under test.
This can happen on highly utilized or slower hardware, for example.

To determine if this is the cause, compare the check and render count(s) below
and see if they match what is expected. If they do not,
consider increasing the timeout, either at the individual
method call level, e.g. WaitForElement(""div"", TimeSpan.FromSeconds(15)),
or via the static TestContext.DefaultWaitTimeout property.

Check count: 36.
Component render count: 89.
Total render count across all components: 0.
---- Assert.Contains() Failure: Filter not matched in collection
Collection: [NotificationMessage { Class = null, Click = null, Close = null, CloseAriaLabel = ""Dismiss notification"", CloseOnClick = False, ··· }]"
"CanDoItAll.Tests.Components.AgentFramework.AgentCatalogPanelTests.Catalog_delegates_new_chat_to_global_launcher_only_for_the_stable_prompts_curator_agent","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentCatalogPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.CrmHr.HrAgentAuthorizationTests.Catalog_and_peer_text_carry_untrusted_markers_for_injection_shaped_content","True","System.InvalidOperationException : Agent model override 'gpt-5.4-mini' for provider 'OpenAI default' requires a model price row on the provider profile."
"CanDoItAll.Tests.Components.ProjectStructure.ProjectStructurePageSimpleMutationTests.Generated_image_asset_create_uses_selected_provider_and_persists_image_asset","True","CanDoItAll.AgentFramework.Core.ProviderProfileValidationException : The selected provider secret reference does not exist."
"CanDoItAll.Tests.Components.AgentFramework.AgentChatPanelResponsivenessTests.Failed_approval_does_not_apply_after_same_agent_session_aba_selection","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests.Cancelling_auto_approval_confirmation_leaves_the_policy_disabled","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentChatPanelResponsivenessTests.Failed_approval_reloads_and_selects_the_exact_persisted_run","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentChatPanelResponsivenessTests.Reopened_panel_without_the_external_run_reloads_once_when_it_completes","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests.Acknowledging_auto_approval_enables_the_policy_and_keeps_a_warning_visible","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests.Identity_contains_tags_without_a_separate_tags_tab","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentChatPanelResponsivenessTests.Failed_send_does_not_reload_a_run_from_another_thread","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentChatPanelResponsivenessTests.Approval_releases_the_ui_event_while_the_post_run_workspace_refresh_is_pending","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.CrmHr.HrAgentAuthorizationTests.Existing_tool_closure_revalidates_lifecycle_and_capability_revocation","True","System.InvalidOperationException : Agent model override 'gpt-5.4-mini' for provider 'OpenAI default' requires a model price row on the provider profile."
"CanDoItAll.Tests.Components.AgentFramework.AgentChatPanelResponsivenessTests.Send_captures_registry_context_before_workspace_execution","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentCatalogPanelTests.Catalog_toolbar_uses_icon_reset_tooltip_and_single_line_team_header","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentCatalogPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests.Native_external_workspace_root_survives_save","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests.Changing_workspace_profile_preserves_existing_external_root_binding(selectedProfile: SoftwareDevelopment)","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogAvatarGenerationTests.Avatar_dialog_explains_when_no_default_image_provider_is_available","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogAvatarGenerationTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests.Removing_a_saved_storage_catalog_removes_its_id_on_save","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests.Relative_external_workspace_root_is_rejected_without_clearing_the_input","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentChatPanelResponsivenessTests.Failed_send_keeps_the_current_thread_when_reload_returns_another_thread","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests.Storage_catalog_picker_selection_is_saved_from_the_typed_field","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentChatPanelResponsivenessTests.Successful_send_does_not_apply_after_same_agent_session_aba_selection","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogDeletionTests.Successful_dialog_delete_emits_only_the_close_result_channel","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogDeletionTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentCatalogPanelTests.Catalog_delegates_new_chat_only_for_the_exact_workflow_curator_identity","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentCatalogPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
