"Path","BeforeSha256","AfterSha256"
"codex/bundles/shared-provider-real-catalogs/subbundles/10-model-thinking-ui-proof/README.md","ABSENT (new file)","30F1AE202040979B348626CD68A6F0CD3C2F40A798594115865DE9127DA566F7"
"codex/bundles/shared-provider-real-catalogs/traceability/01-requirement-traceability.md","9E64A1E93453592038A4AB0AFFCB768F41EF8D63BF320D0A23A2A897AC7C2359","E3D5B0CFA715EA5B11F0EB625C6EED17B26B60F1F54E9CE90F0C76D121DCCF5F"
"src/MAF/Common/CanDoItAll.AgentFramework.Components/AgentThinkingEffortSettings.razor","F818BE37A21EAE028AF64F52495E2314C42600C11179E046F96BDBCEC3F2AF66","8326811739E454CCE683EA920B0967D1582325031B09840ED69D0D04209C8850"
"src/MAF/Common/CanDoItAll.AgentFramework.Core/Providers/ProviderServices.cs","21F751964B4F75EB98105B813C302035DE327F8B12E0AC347757ECDEFDF62500","D54CBB93618D75550146B68F167A1435371216BAC5E2A657932CEDF6E5CB6E96"
"src/MAF/Common/CanDoItAll.AgentFramework.Models/Providers/AgentThinkingEffortPolicy.cs","59DDC0A03527E348502F3A4B802107DF39C316C08699A04BFAADAB72A7510235","520D10D2D6793FBD9D2CCAAF9B916AF010A5C21241E70E855C40B3572A13BD66"
"src/MAF/Common/CanDoItAll.AgentFramework.Models/Providers/ProviderModelThinkingConfiguration.cs","ABSENT (new file)","FE76209EF0E7767F2F54127877AB62B31E4A6A90FDBA09884627B3AD8FFB0610"
"src/Modules/CanDoItAll.Modules.AgentFramework.ProviderManagement/SharedProviders/SharedProviderThinkingCapabilityMapper.cs","B6885B269806B950F7291F153B9D747A3AD7C2C686C6289DE38A161403FC6EDF","D3615F33FFE7E90D0578F74291009D82DAF07A3C2A55539FF1E41CD691CDE180"
"src/Modules/CanDoItAll.Modules.AgentFramework/Pages/Components/AgentDetailsDialog.razor","D2B8EFFAC4A8D694F86ACFE06FE32D2D7D397392FDCE8BE7B098B77F27BD7428","15F23B7AED70B347407BA75EF75B2FE88970FFE2A92828CBEA18DCCB649F9979"
"src/Modules/CanDoItAll.Modules.AgentFramework/Pages/Components/AgentDetailsDialog.razor.cs","482430608BF7FC4C9686C10A61ADFD304CE610AE300CB06EF0DD5BEF74CB473E","8E7F94161F945591809F52D15E2FDBF41D7D507D7FDAA5262650A3C4FF382910"
"src/Modules/CanDoItAll.Modules.AgentFramework/Pages/Components/AgentProviderProfilesPanel.razor","F58BC1BA1FEBBA7CABFD43EE33CAD483DDDB3A3CE2E16A65961A5D57AF8C895C","8D6D8DEAC3980F00A4247588C089E59C7888375C4F8F043F3E577BDE7206618D"
"src/Modules/CanDoItAll.Modules.AgentFramework/Pages/Components/AgentProviderProfilesPanel.razor.css","0E50DDF4249A304C4588FEB2D4BB8E43B12E1EFAD37CE88110839EF35EAB3F1D","67DB78A88092BFE0EE1179F7953F8E35F2F31B5D24B7692F54189F9C13F88A5B"
"src/Modules/CanDoItAll.Modules.AgentFramework/Pages/Components/ProviderModelThinkingEditor.razor","ABSENT (new file)","00040D95E11F8A72824361C770A8308F1FED0A26D2D20A3619E5BAF18E8958C2"
"src/Modules/CanDoItAll.Modules.AgentFramework/Pages/Components/SharedProviderRefreshButton.razor","ABSENT (new file)","DF791B005DE11D0726577D182F9568730A8561434CB883578C1B28CF30767C6A"
"tests/Components/CanDoItAll.Tests.Components/ProviderModelThinkingEditorTests.cs","ABSENT (new file)","F44DD46EBA2673517821EBC682C48495F642DCCF154142AA1B30D1D2796AABF5"
"tests/Components/CanDoItAll.Tests.Components/SharedProviderRefreshButtonTests.cs","ABSENT (new file)","1012D2B3C7C6B802C1785086AC8485BD79B2740B9C4FA2C7ABD7B8BC99AB010E"
"tests/Unit/CanDoItAll.Tests.Unit/ProviderModelThinkingConfigurationTests.cs","ABSENT (new file)","F62F34425F12FDBAB6DDD6DD20789C765C1D985BB986F58418B4ABE7E16A31E9"
